QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03391084,19,0,1,,A,,,A,,A,,A
20171,03391094,20,0,1,,A,,,A,,A,,A
20171,03391124,17,0,1,,A,,,A,,A,,A
20171,03391134,28,0,1,,A,,,A,,A,,A
20171,03391154,11,0,1,,A,,,A,,A,,A
20171,03391164,14,0,1,,A,,,A,,A,,A
20171,03391174,23,0,1,,A,,,A,,A,,A
20171,03391184,33,0,1,,A,,,A,,A,,A
20171,03391194,36,0,1,,A,,,A,,A,,A
20171,03391214,13,0,1,,A,,,A,,A,,A
20171,03391234,21,0,1,,A,,,A,,A,,A
20171,03391244,25,0,1,,A,,,A,,A,,A
20171,03391254,43,0,1,,A,,,A,,A,,A
20171,03391264,8,0,1,,A,,,A,,A,,A
20171,03391284,38,0,1,,A,,,A,,A,,A
20171,03391294,22,0,1,,A,,,A,,A,,A
20171,03391304,17,0,1,,A,,,A,,A,,A
20171,03391314,31,0,1,,A,,,A,,A,,A
20171,03391324,38,0,1,,A,,,A,,A,,A
20171,03391374,47,0,1,,A,,,A,,A,,A
20171,03391384,30,0,1,,A,,,A,,A,,A
20171,03391394,29,0,1,,A,,,A,,A,,A
20171,03391414,20,0,1,,A,,,A,,A,,A
20171,03391434,32,0,1,,A,,,A,,A,,A
20171,03391444,44,0,1,,A,,,A,,A,,A
20171,03391454,29,0,1,,A,,,A,,A,,A
20171,03391484,31,0,1,,A,,,A,,A,,A
20171,03391494,31,0,1,,A,,,A,,A,,A
20171,03391504,28,0,1,,A,,,A,,A,,A
20171,03391524,29,0,1,,A,,,A,,A,,A
20171,03391574,27,0,1,,A,,,A,,A,,A
20171,03391584,29,0,1,,A,,,A,,A,,A
20171,03391594,54,0,1,,A,,,A,,A,,A
20171,03391614,22,0,1,,A,,,A,,A,,A
20171,03391664,15,0,1,,A,,,A,,A,,A
20171,03391674,54,0,1,,A,,,A,,A,,A
20171,03391734,22,0,1,,A,,,A,,A,,A
20171,03391754,34,0,1,,A,,,A,,A,,A
20171,03391814,32,0,1,,A,,,A,,A,,A
20171,03391854,14,0,1,,A,,,A,,A,,A
20171,03391864,21,0,1,,A,,,A,,A,,A
20171,03391894,50,0,1,,A,,,A,,A,,A
20171,03391924,35,0,1,,A,,,A,,A,,A
20171,03391964,27,0,1,,A,,,A,,A,,A
20171,03392004,33,0,1,,A,,,A,,A,,A
20171,03392024,25,0,1,,A,,,A,,A,,A
20171,03392044,51,0,1,,A,,,A,,A,,A
20171,03392084,20,0,1,,A,,,A,,A,,A
20171,03392114,33,0,1,,A,,,A,,A,,A
20171,03392124,65,0,1,,A,,,A,,A,,A
20171,03392184,36,0,1,,A,,,A,,A,,A
20171,03392194,16,0,1,,A,,,A,,A,,A
20171,03392204,29,0,1,,A,,,A,,A,,A
20171,03392234,65,0,1,135,D,,,A,,A,,A
20171,03392254,38,0,1,,A,,,A,,A,,A
20171,03392284,26,0,1,,A,,,A,,A,,A
20171,03392324,24,0,1,,A,,,A,,A,,A
20171,03392334,21,0,1,,A,,,A,,A,,A
20171,03392374,44,0,1,,A,,,A,,A,,A
20171,03392384,58,0,1,,A,,,A,,A,,A
20171,03392404,23,0,1,,A,,,A,,A,,A
20171,03392434,36,0,1,,A,,,A,,A,,A
20171,03392444,30,0,1,,A,,,A,,A,,A
20171,03392464,48,0,1,,A,,,A,,A,,A
20171,03392474,23,0,1,,A,,,A,,A,,A
20171,03392504,14,0,1,,A,,,A,,A,,A
20171,03392614,40,0,1,,A,,,A,,A,,A
20171,03392624,28,0,1,,A,,,A,,A,,A
20171,03392634,31,0,1,,A,,,A,,A,,A
20171,03392674,27,0,1,,A,,,A,,A,,A
20171,03392694,28,0,1,,A,,,A,,A,,A
20171,03392754,20,0,1,,A,,,A,,A,,A
