QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03649134,15,0,1,380,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649174,29,0,1,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649174,30,0,1,330,D,12,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649174,31,0,1,340,D,11,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649214,35,0,1,230,D,13,D,1,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649214,36,0,1,330,D,12,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649214,37,0,1,340,D,12,D,1,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649214,38,0,1,240,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20181,03649214,39,0,1,260,D,11,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649214,40,0,2,260,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649224,9,0,1,260,D,12,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649324,14,0,1,360,D,12,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649324,15,0,1,330,D,12,D,1,D,142,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649354,36,0,1,330,D,11,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649354,37,0,1,330,D,12,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649374,15,0,1,250,D,11,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649374,16,0,1,260,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,49,0,1,360,D,12,D,2,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,50,0,1,150,D,11,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,51,0,1,370,D,13,D,1,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,52,0,1,130,D,11,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,53,0,1,130,D,10,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649524,54,0,2,130,D,10,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649574,14,0,2,140,D,10,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649584,8,0,1,330,D,11,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20181,03649584,9,0,1,330,D,11,D,2,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20181,03649644,18,0,1,140,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649644,19,0,1,330,D,12,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649644,20,0,1,330,D,11,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649644,21,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649684,15,0,1,160,D,10,D,1,D,610,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649704,14,0,1,330,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649714,7,0,1,170,D,13,D,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649714,8,0,1,240,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649724,6,0,1,390,D,12,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649774,40,0,1,140,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649774,41,0,1,140,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649804,15,0,2,260,D,10,D,1,D,465,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649824,15,0,1,150,D,12,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649834,34,0,1,100,D,12,D,2,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649834,35,0,1,330,D,12,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649854,9,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20181,03649864,46,0,1,380,D,13,D,1,D,113,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649864,47,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
