QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20173,03695401,10,0,1,05,D,100,D,,A,100,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695421,21,0,1,04,D,750,D,,A,750,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695421,22,0,1,04,D,350,D,,A,350,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695641,34,0,1,05,D,150,D,,A,150,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695641,35,0,1,06,D,85,D,,A,85,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695681,32,0,1,04,D,150,D,,A,150,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695691,32,0,1,06,D,45,D,,A,45,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695701,42,0,1,05,D,53,D,,A,53,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695734,20,0,1,04,D,140,D,,A,140,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695761,36,0,1,06,D,24,D,,A,24,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695761,37,0,1,06,D,21,D,,A,21,D,360,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695781,17,0,1,06,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695841,46,0,1,05,D,,C,,A,146,F,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695841,47,0,1,06,D,150,D,,A,150,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695841,48,0,1,06,D,1302,D,,A,1302,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695881,53,0,1,06,D,25,D,,A,25,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
