QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20171,03391284,8,0,1,150,D,13,D,300,D
20171,03391374,7,0,1,170,D,12,D,75,D
20171,03391374,8,0,1,170,D,10,D,40,D
20171,03391374,9,0,1,130,D,11,D,50,D
20171,03391374,10,0,1,140,D,11,D,50,D
20171,03391374,11,0,1,160,D,11,D,50,D
20171,03391394,4,0,1,170,D,12,D,450,D
20171,03391434,5,0,1,160,D,12,D,100,D
20171,03391444,13,0,1,150,D,13,D,160,D
20171,03391454,1,0,1,150,D,13,D,90,D
20171,03391484,6,0,1,170,D,12,D,50,D
20171,03391484,7,0,1,150,D,13,D,100,D
20171,03391574,1,0,1,110,D,13,D,320,D
20171,03391594,5,0,1,160,D,13,D,1,D
20171,03391614,1,0,1,160,D,13,D,10,D
20171,03391674,11,0,1,150,D,13,D,20,D
20171,03391814,3,0,1,160,D,13,D,100,D
20171,03391854,2,0,1,170,D,12,D,1500,D
20171,03391864,1,0,1,150,D,13,D,100,D
20171,03391894,4,0,1,110,D,10,D,400,D
20171,03391924,3,0,1,150,D,13,D,100,D
20171,03391964,1,0,1,170,D,12,D,200,D
20171,03392004,2,0,1,160,D,13,D,50,D
20171,03392044,6,0,1,150,D,13,D,100,D
20171,03392114,4,0,1,160,D,13,D,15,D
20171,03392114,5,0,1,160,D,13,D,25,D
20171,03392124,19,0,1,170,D,11,D,200,D
20171,03392124,20,0,1,170,D,12,D,100,D
20171,03392184,5,0,1,160,D,12,D,500,D
20171,03392194,1,0,1,150,D,13,D,10,D
20171,03392204,8,0,1,170,D,13,D,300,D
20171,03392234,7,0,1,170,D,13,D,60,D
20171,03392254,5,0,1,170,D,13,D,25,D
20171,03392254,6,0,1,160,D,12,D,150,D
20171,03392254,7,0,2,160,D,10,D,25,D
20171,03392374,5,0,1,170,D,12,D,5,D
20171,03392374,6,0,1,160,D,11,D,10,D
20171,03392384,4,0,1,150,D,12,D,1960,D
20171,03392384,5,0,1,160,D,12,D,160,D
20171,03392384,6,0,1,160,D,13,D,10,D
20171,03392434,2,0,1,150,D,13,D,400,D
20171,03392464,6,0,1,150,D,13,D,20,D
20171,03392474,3,0,1,150,D,13,D,50,D
20171,03392474,4,0,1,150,D,12,D,300,D
