QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,HHIPDLIB,HHIP_LIB,HHISTATB,HHIS_ATB,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIPRDED,HHIP_DED,HHIR_MPD,QHI3MCX,QHI3MCX_,HHIBCBS,HHIBCBS_,HHICODE,HHICODE_,HHIPOS,HHIPOS_,HHISPECT,HHIS_ECT,HHIPROUT,HHIP_OUT,HHIPRYOU,HHIP_YOU,HHIRPMPD,HHISUBPD,HHIS_BPD,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS
20171,03429064,8,0,5,01,D,,A,1,D,3,D,,A,A,,A,1,D,1,D,1,D,,A,1,D,2,D,,,A,2,D,,A,,A
20171,03429084,3,0,5,01,D,,A,1,D,3,D,,A,A,,A,2,D,4,D,,A,4,D,2,D,2,D,,,A,2,D,,A,,A
20171,03429114,20,0,5,01,D,,A,6,D,2,D,,A,A,,A,2,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03429134,21,0,1,01,D,,A,2,D,2,D,1,D,D,300,D,1,D,1,D,2,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03429134,22,0,1,02,D,,A,1,D,2,D,1,D,D,240,D,1,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03429184,7,0,5,01,D,,A,1,D,3,D,1,D,D,312,D,2,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03429184,8,0,5,02,D,,A,1,D,2,D,1,D,D,312,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03429184,9,0,5,03,D,,A,1,D,3,D,,A,A,,A,2,D,2,D,,A,,A,2,D,2,D,,,A,2,D,,C,2,D
20171,03429204,2,0,1,01,D,,A,1,D,1,D,2,D,D,327,D,1,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03429204,3,0,1,02,D,,A,1,D,1,D,2,D,D,615,D,1,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03429204,4,0,1,03,D,,A,1,D,1,D,2,D,D,189,D,2,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03429254,26,0,5,01,D,,A,4,D,2,D,,A,A,,A,1,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440063,9,0,5,01,D,,A,2,D,2,D,1,D,D,,A,2,D,1,D,2,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440093,15,0,5,01,D,,A,4,D,2,D,,A,A,,A,2,D,1,D,2,D,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440123,3,0,5,01,D,,A,5,D,2,D,,A,A,,A,2,D,1,D,1,D,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440143,8,0,5,01,D,,A,3,D,2,D,1,D,D,,A,2,D,1,D,1,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03440173,24,0,1,01,D,,A,4,D,3,D,1,D,D,105,F,2,D,2,D,,A,,A,,A,1,D,03,,A,2,D,,A,,A
20171,03440173,25,0,1,02,D,,A,4,D,3,D,1,D,D,720,F,2,D,4,D,,A,1,D,,A,1,D,03,,A,2,D,,A,,A
20171,03440173,26,0,1,03,D,,A,4,D,3,D,1,D,D,2778,F,2,D,4,D,,A,2,D,,A,1,D,03,,A,2,D,,A,,A
20171,03440193,6,0,5,01,D,,A,1,D,3,D,,A,A,,A,2,D,3,D,,A,,A,2,D,2,D,,1,D,1,D,,C,1,D
20171,03440223,4,0,5,01,D,,A,1,D,1,D,2,D,D,300,D,2,D,1,D,,C,,A,,A,1,D,04,,A,1,D,,C,2,D
20171,03440253,5,0,5,01,D,,A,1,D,2,D,1,D,D,240,F,1,D,1,D,2,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440273,9,0,5,01,D,,A,1,D,1,D,2,D,D,450,D,2,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03440273,10,0,5,02,D,,A,1,D,2,D,,C,C,195,F,2,D,2,D,,A,,A,,A,1,D,,,A,,A,,A,,A
20171,03440303,6,0,5,01,D,,A,1,D,2,D,1,D,D,228,D,1,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03440333,9,0,5,01,D,,A,2,D,2,D,1,D,D,699,D,1,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440363,3,0,5,01,D,,A,1,D,1,D,2,D,D,390,D,2,D,1,D,1,D,,A,,A,1,D,04,1,D,1,D,,C,1,D
20171,03440383,11,0,5,01,D,,A,1,D,1,D,2,D,D,,A,1,D,2,D,,A,,A,,A,1,D,04,,A,1,D,2,D,2,D
20171,03440443,9,0,1,01,D,,A,2,D,2,D,1,D,D,750,D,1,D,1,D,1,D,,A,,A,1,D,03,,A,,A,,A,,A
20171,03440483,5,0,5,01,D,,A,1,D,2,D,1,D,D,1125,D,1,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440503,6,0,5,01,D,,A,1,D,1,D,2,D,D,,A,1,D,2,D,,A,,A,,A,1,D,04,1,D,1,D,2,D,1,D
20171,03440503,8,0,1,03,D,,A,1,D,1,D,2,D,D,90,D,2,D,1,D,2,D,,A,,A,1,D,04,1,D,1,D,4,D,1,D
20171,03440583,4,0,5,01,D,,A,2,D,2,D,,A,A,,A,1,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440603,11,0,5,01,D,,A,1,D,1,D,2,D,D,294,D,1,D,1,D,1,D,,A,,A,1,D,04,1,D,1,D,4,D,1,D
20171,03440603,12,0,5,02,D,,A,1,D,2,D,1,D,D,465,D,1,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440623,12,0,5,02,D,,A,1,D,2,D,1,D,D,,A,2,D,1,D,2,D,,A,,A,1,D,01,,A,,A,,A,,A
20171,03440623,13,0,1,03,D,,A,1,D,1,D,1,D,D,338,D,1,D,1,D,2,D,,A,,A,1,D,01,,A,2,D,,A,,A
20171,03440623,14,0,1,04,D,,A,1,D,2,D,1,D,D,39,D,2,D,4,D,,A,1,D,,A,1,D,01,,A,,A,,A,,A
20171,03440643,15,0,5,01,D,,A,5,D,2,D,,A,A,,A,2,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440643,16,0,1,02,D,,A,5,D,1,D,1,D,D,30,D,2,D,2,D,,A,,A,,A,1,D,06,,A,2,D,,A,,A
20171,03440653,8,0,5,01,D,,A,2,D,2,D,,A,A,,A,2,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03440743,20,0,5,01,D,,A,2,D,2,D,2,D,D,513,D,1,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440743,21,0,5,02,D,,A,2,D,2,D,1,D,D,186,D,2,D,4,D,,A,1,D,,A,1,D,04,,A,,A,,A,,A
20171,03440793,3,0,5,01,D,,A,1,D,1,D,,A,A,,A,2,D,2,D,,A,,A,2,D,2,D,,,A,2,D,,A,,A
20171,03440813,3,0,5,01,D,,A,2,D,1,D,2,D,D,336,D,2,D,2,D,,A,,A,,A,1,D,04,,A,1,D,,C,2,D
20171,03440823,9,0,5,01,D,,A,3,D,2,D,2,D,D,2025,D,1,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440843,11,0,5,01,D,,A,1,D,1,D,2,D,D,270,D,2,D,2,D,,A,,A,,A,1,D,04,1,D,1,D,3,D,1,D
20171,03440893,8,0,5,01,D,,A,1,D,1,D,2,D,D,468,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03440893,9,0,5,02,D,,A,1,D,1,D,2,D,D,54,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03440903,11,0,5,01,D,,A,3,D,2,D,1,D,D,780,D,1,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03440963,6,0,5,01,D,,A,1,D,1,D,2,D,D,375,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03440963,7,0,5,02,D,,A,1,D,1,D,,A,A,,A,2,D,3,D,,A,,A,,C,2,D,,,A,2,D,,A,,A
20171,03440963,8,0,5,03,D,,A,1,D,1,D,2,D,D,,A,1,D,1,D,2,D,,A,,A,1,D,04,1,D,1,D,3,D,1,D
20171,03441023,19,0,5,01,D,,A,2,D,1,D,2,D,D,1623,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03441023,20,0,1,02,D,,A,1,D,1,D,2,D,D,996,D,2,D,4,D,,A,3,D,,A,1,D,09,,A,2,D,,A,,A
20171,03441033,6,0,5,01,D,,A,1,D,2,D,,A,A,,A,1,D,1,D,1,D,,A,2,D,2,D,,,A,,A,,A,,A
20171,03441063,11,0,5,01,D,,A,4,D,2,D,,A,A,,A,2,D,1,D,2,D,,A,1,D,2,D,,,A,,A,,A,,A
20171,03441083,26,0,5,01,D,,A,4,D,2,D,1,D,D,,A,2,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03441093,8,0,5,01,D,,A,1,D,2,D,1,D,D,163,D,2,D,1,D,2,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03441093,9,0,5,02,D,,A,1,D,2,D,1,D,D,26,D,2,D,4,D,,A,1,D,,A,1,D,02,,A,,A,,A,,A
20171,03441093,10,0,5,03,D,,A,1,D,2,D,1,D,D,26,D,2,D,4,D,,A,2,D,,A,1,D,02,,A,,A,,A,,A
20171,03441113,8,0,5,01,D,,A,1,D,2,D,1,D,D,286,D,1,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03441113,9,0,5,02,D,,A,1,D,2,D,1,D,D,488,D,1,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03441193,3,0,5,01,D,,A,1,D,1,D,2,D,D,762,D,2,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
