QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20173,03692891,1,4,1,180,D,1,D,06,D,128,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692891,1,5,1,195,D,1,D,06,D,1344,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692891,1,6,1,120,D,1,D,06,D,125,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692921,1,0,1,120,D,1,D,04,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692961,1,0,1,140,D,1,D,05,D,531,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693131,1,0,1,140,D,1,D,05,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693331,1,0,1,140,D,2,D,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693421,1,0,1,120,D,1,D,06,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693521,1,0,1,140,D,1,D,06,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693551,1,0,1,120,D,1,D,06,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693571,1,0,1,120,D,1,D,05,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693571,2,0,1,195,D,1,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693741,1,0,1,195,D,1,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03693741,2,0,1,120,D,1,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694111,1,0,1,120,D,1,D,05,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694141,1,0,1,120,D,1,D,04,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694141,2,0,1,140,D,1,D,05,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694391,1,0,1,120,D,1,D,06,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03694971,1,0,1,195,D,1,D,05,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,1,0,1,220,D,1,D,04,D,,H,,A,,A,220,D,120,D,,A,,A,,A,,A,,A,,A,,A
