QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_,EQBPURCH
20171,03421774,11,0,1,190,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421924,3,0,1,150,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421954,7,0,1,110,D,01,D,293,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421954,8,0,1,200,D,12,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421954,9,0,1,200,D,01,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421954,10,0,1,200,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422024,2,0,1,190,D,01,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422084,4,0,2,190,D,12,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422124,6,0,1,190,D,02,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422204,5,0,1,110,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422344,7,0,1,110,D,02,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422534,3,0,2,220,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422664,4,0,1,190,D,02,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422664,5,0,1,190,D,12,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422674,7,0,1,190,D,01,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422824,11,0,1,190,D,01,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422824,12,0,1,190,D,02,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03422824,13,0,1,190,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423004,3,0,1,200,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423054,11,0,1,220,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423634,10,0,1,190,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423684,12,0,1,190,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423684,13,0,1,200,D,01,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423794,6,0,1,200,D,12,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03423924,7,0,1,120,D,02,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03424634,29,0,1,190,D,01,D,114,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03424844,23,0,1,200,D,01,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03424844,24,0,1,200,D,02,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03424844,25,0,1,200,D,12,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,13,0,1,210,D,12,D,,H,210,D,190,D,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,13,1,1,190,D,12,D,52,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,13,2,1,220,D,12,D,40,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,14,0,1,210,D,02,D,,H,210,D,200,D,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,14,1,1,170,D,02,D,3,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,14,2,1,200,D,02,D,3,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425074,14,3,1,220,D,02,D,4,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425094,9,0,2,170,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425204,42,0,1,190,D,02,D,138,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425474,8,0,1,190,D,01,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03425764,8,0,1,100,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426244,2,0,1,110,D,12,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426244,3,0,1,110,D,01,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426244,4,0,1,110,D,02,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426354,6,0,1,190,D,12,D,171,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426394,9,0,1,110,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426464,12,0,1,220,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426804,14,0,1,190,D,12,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426804,15,0,1,190,D,01,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03426804,16,0,1,190,D,02,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427034,7,0,1,100,D,12,D,124,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427034,8,0,1,200,D,01,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427074,9,0,1,120,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427164,2,0,1,190,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427384,14,0,1,190,D,12,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03427784,9,0,1,190,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428164,7,0,1,190,D,12,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428164,8,0,1,190,D,01,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428164,9,0,1,190,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428214,3,0,1,100,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428224,19,0,1,190,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03428944,9,0,1,190,D,02,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03429064,4,0,1,190,D,01,D,436,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03440533,5,0,2,200,D,10,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03440603,7,0,1,190,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
