QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03573614,44,2,1,410,D,08,D,26,E,,A,,A,,A,,A
20174,03573644,22,0,1,410,D,09,D,30,D,,A,,A,,A,,A
20174,03573664,70,0,2,420,D,07,D,79,D,,A,,A,,A,,A
20174,03573764,68,0,1,410,D,08,D,40,D,,A,,A,,A,,A
20174,03573874,25,0,1,420,D,09,D,54,D,,A,,A,,A,,A
20174,03573904,44,0,1,400,D,09,D,190,D,,A,,A,,A,,A
20174,03573924,32,0,1,420,D,09,D,101,D,,A,,A,,A,,A
20174,03573994,21,0,1,410,D,09,D,80,D,,A,,A,,A,,A
20174,03573994,22,0,1,420,D,09,D,120,D,,A,,A,,A,,A
20174,03574044,44,0,1,420,D,09,D,35,D,,A,,A,,A,,A
20174,03574124,32,0,1,430,D,08,D,,H,410,D,405,D,415,D,,A
20174,03574124,32,1,1,410,D,08,D,84,E,,A,,A,,A,,A
20174,03574124,32,2,1,405,D,08,D,181,E,,A,,A,,A,,A
20174,03574124,32,3,1,420,D,08,D,192,E,,A,,A,,A,,A
20174,03574154,35,0,1,420,D,09,D,110,D,,A,,A,,A,,A
20174,03574184,36,0,1,420,D,09,D,700,D,,A,,A,,A,,A
20174,03574204,37,0,1,400,D,09,D,23,D,,A,,A,,A,,A
20174,03574244,83,0,1,430,D,08,D,,H,425,D,415,D,,A,,A
20174,03574244,83,1,1,420,D,08,D,200,E,,A,,A,,A,,A
20174,03574244,84,0,1,430,D,08,D,,H,425,D,415,D,,A,,A
20174,03574244,84,1,1,420,D,08,D,84,E,,A,,A,,A,,A
20174,03574274,26,0,1,400,D,09,D,13,D,,A,,A,,A,,A
20174,03574394,28,0,1,420,D,08,D,90,D,,A,,A,,A,,A
20174,03574554,45,0,1,400,D,09,D,64,D,,A,,A,,A,,A
