QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20171,03442513,34,0,5,01,D,100,D,,A,3,D,08,D,2015,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442533,7,0,5,01,D,200,D,,A,3,D,,B,2009,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442533,8,0,5,02,D,400,D,,A,3,D,,B,2000,D,,A,,A,,A,400,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20171,03442623,20,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442643,15,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442653,58,0,5,01,D,100,D,,A,3,D,07,D,2015,D,,A,,A,,A,800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442653,59,0,5,02,D,200,D,,A,3,D,,B,2006,D,,A,,A,,A,530,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442683,29,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442683,30,0,5,02,D,300,D,,A,3,D,,B,2011,D,,A,,A,,A,3000,D,2,D,,A,,A,,A,1,D,0,D,,A,,A,,A
20171,03442743,11,0,5,01,D,100,D,,A,3,D,,B,1975,D,,A,,A,,A,18759,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442793,22,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442813,6,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,430,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20171,03442823,24,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,890,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442833,24,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442843,41,0,5,01,D,100,D,0.50,D,3,D,,B,1980,D,,A,,A,,A,7900,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442873,20,0,5,01,D,100,D,,A,3,D,,B,1986,D,,A,,A,,A,3400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442893,20,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442903,29,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,9000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442923,17,0,5,01,D,100,D,,A,1,D,,B,2012,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442943,8,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,840,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442953,19,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20171,03442953,20,0,5,02,D,300,D,,A,3,D,,B,2010,D,,A,,A,,A,800,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442963,30,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442963,31,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03442973,16,0,5,01,D,100,D,,A,3,D,,B,1984,D,,A,,A,,A,1800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442973,17,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03442983,12,0,5,01,D,100,D,,A,3,D,,B,1963,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443023,28,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,1900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443023,29,0,5,02,D,200,D,,A,3,D,,B,2008,D,,A,,A,,A,1100,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443043,3,0,1,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,500,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20171,03443043,4,0,1,02,D,300,D,,A,3,D,,B,2003,D,,A,,A,,A,570,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443053,27,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443153,21,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,3500,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20171,03443163,26,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,3800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443163,27,0,5,02,D,300,D,,A,3,D,,B,1992,D,,A,,A,,A,3100,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443163,28,0,5,03,D,400,D,,A,3,D,,B,2012,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443203,21,0,1,01,D,100,D,,A,3,D,,B,1985,D,,A,,A,,A,200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443223,25,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443263,35,0,5,01,D,100,D,,A,3,D,,B,1991,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443313,20,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443323,17,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443383,13,0,5,01,D,100,D,,A,3,D,,B,1986,D,,A,,A,,A,250,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443403,16,0,5,01,D,100,D,,A,3,D,,B,2006,D,,A,,A,,A,4400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443403,17,0,5,02,D,300,D,,A,3,D,,B,2003,D,,A,,A,,A,3700,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443403,19,0,5,04,D,300,D,,A,3,D,,B,2003,D,,A,,A,,A,1400,D,1,D,4,D,2,D,,A,,A,,A,,A,,A,1,D
20171,03443413,27,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443433,11,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,2500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443443,7,0,1,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443563,17,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443593,25,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443603,59,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443603,60,0,5,02,D,300,D,,A,2,D,,B,2014,D,,A,,A,,A,1000,D,1,D,2,D,1,D,0,D,,A,,A,,A,,A,1,D
20171,03443613,19,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03443613,20,0,5,02,D,300,D,,A,3,D,,B,2012,D,,A,,A,,A,1800,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03443613,21,0,5,03,D,400,D,,A,3,D,,B,2009,D,,A,,A,,A,300,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
