QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20173,03665072,15,0,5,01,D,100,D,.0784,D,190000,D,30,D,1373,D,,A,,A,,A,,A,0,D,234,D,235,D,237,D,866,D,865,D,863,D,,A,04,D,2007,D,2,D,,A,165545,D,165254,D,164960,D,01,D,1,D,,A,,A,1100,D,1100,D,1100,D,1,D,2,D,1,D
20173,03665082,19,0,5,01,D,100,D,.0420,D,31102,D,7,D,428,D,,A,,A,,A,,A,0,D,357,D,358,D,359,D,71,D,70,D,69,D,,A,10,D,2014,D,1,D,,A,20315,D,19959,D,19600,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665152,17,0,5,01,D,100,D,.0784,D,33317,D,5,D,1079,D,3,D,4,D,,A,,A,406,D,,A,,A,,A,,A,,A,,A,,A,02,D,2012,D,1,D,,A,,A,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665152,18,0,5,01,D,100,D,.0400,D,67000,D,20,D,588,D,,B,,B,,B,,B,182,D,270,D,271,D,271,D,136,D,135,D,135,D,,A,09,D,2007,D,1,D,,A,40914,D,40644,D,40374,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665322,56,0,5,01,D,100,D,.0784,D,233149,D,20,D,2571,D,3,D,4,D,,A,,A,644,D,445,D,448,D,451,D,1482,D,1479,D,1476,D,,A,03,D,2016,D,1,D,,A,226808,D,226362,D,225914,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665352,27,0,5,01,D,100,D,.0784,D,54000,D,30,D,429,D,3,D,4,D,,A,,A,39,D,40,D,40,D,40,D,350,D,350,D,350,D,,A,08,D,2016,D,1,D,,A,53617,D,53577,D,53537,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665422,15,0,5,01,D,100,D,.0784,D,120000,D,30,D,895,D,,B,,B,,B,,B,28,D,96,D,96,D,97,D,771,D,771,D,770,D,,A,08,D,2015,D,1,D,,A,118043,D,117947,D,117851,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03665432,13,0,5,01,D,100,D,.0784,D,73000,D,30,D,530,D,3,D,4,D,,A,,A,2,D,0,D,0,D,0,D,528,D,528,D,528,D,,A,08,D,2011,D,1,D,,A,73000,D,73000,D,73000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D,1,D
20173,03665452,37,0,1,01,D,100,D,.0525,D,170000,D,30,D,2400,D,3,D,4,D,,A,,A,1461,D,320,D,321,D,323,D,619,D,618,D,616,D,,A,01,D,2008,D,1,D,,A,141540,D,141220,D,140899,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665632,22,0,5,01,D,100,D,.0450,D,150000,D,30,D,1000,D,,B,,B,,B,,B,240,D,327,D,329,D,330,D,433,D,431,D,430,D,,A,03,D,2006,D,1,D,,A,115372,D,115045,D,114716,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
