NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03567374,1,2016,2015,1,.15300,.15300,2,.25980,.25980,44,D,.00000,.00000,0,D,0,D,18200,D,20352,D,0,D,0,D,0,D,0,D,8100,D,0,D,150,D,0,D,1,D,0,D,-615,0,-582,-626,0,0,5898,5898,38552,38552,0,0,1000,1000,0,0,0,0,978,1006,38552,38552,0,0,1395,1380,1395,1380,0,0,0,0,0,0,0,0,0,0,0
03567404,1,2016,2015,0,.00000,.00000,1,.00000,.00000,33,D,.01700,.01700,1,D,1,D,0,D,0,D,5745,D,0,D,0,D,0,D,0,D,5900,D,20,D,0,D,0,D,0,D,0,-294,0,0,-294,-294,0,0,5745,5745,5745,5745,0,0,0,0,0,0,0,0,5745,5745,0,0,0,0,0,0,7900,7950,0,0,294,294,0,0,0,0,0
03567414,1,2016,2015,1,.15300,.15300,3,.15000,.15000,03,D,.02880,.02880,0,D,0,D,45313,D,0,D,0,D,0,D,0,D,0,D,10200,D,0,D,0,D,0,D,0,D,960,D,3531,765,3552,3524,766,765,6933,6933,45313,45313,45313,45313,0,0,0,0,0,0,0,0,45313,45313,0,0,3552,3524,3552,3524,10182,10198,1726,1725,0,0,0,0,0,0,0
03567414,2,2016,2015,0,.15300,.15300,1,.15000,.15000,03,D,.02880,.02880,0,D,0,D,23439,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1502,438,1510,1500,438,438,3586,3586,23439,23439,23439,23439,0,0,0,0,0,0,0,0,23439,23439,0,0,1510,1500,1510,1500,5091,5099,438,438,0,0,0,0,0,0,0
03567424,1,2016,2015,0,.15300,.15300,1,.25000,.25000,01,D,.03370,.03370,0,D,0,D,69999,D,0,D,-8962,D,0,D,0,D,0,D,12000,D,0,D,1425,D,0,D,0,D,0,D,8452,2175,8478,8443,2174,2176,10710,10710,61037,61037,61037,61037,0,0,0,0,0,0,0,0,61037,61037,0,0,8478,8443,8478,8443,2000,2000,6780,6780,0,0,0,0,0,0,0
03567424,2,2016,2015,0,.15300,.15300,1,.17650,.17650,01,D,.04120,.04120,0,D,0,D,14000,D,0,D,-1160,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,184,393,191,181,392,393,2142,2142,12840,12840,12840,12840,0,0,0,0,0,0,63,68,12840,12840,0,0,254,249,254,249,2500,2500,1071,1071,0,0,0,0,0,0,0
03567424,3,2016,2015,0,.15300,.15300,1,.15000,.15000,01,D,.04510,.04510,0,D,0,D,28000,D,0,D,-1318,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1989,1012,1996,1986,1012,1012,4284,4284,26682,26682,26682,26682,0,0,0,0,0,0,0,0,26682,26682,0,0,1996,1986,1996,1986,2148,2148,2142,2142,0,0,0,0,0,0,0
03567464,1,2016,2015,1,.15300,.15300,3,.00000,.00000,34,D,.05750,.05750,0,D,0,D,16000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,52,D,0,D,1,D,0,D,-4370,53,-4359,-4373,105,36,2448,2448,16000,16000,16000,16000,0,0,1000,1000,0,0,3359,3373,16000,16000,0,0,0,0,0,0,12000,13200,0,0,0,0,0,0,0,0,0
03567484,1,2016,2015,1,.15300,.15300,3,.28240,.28240,24,D,.07050,.07050,0,D,0,D,72000,D,0,D,13690,D,0,D,0,D,0,D,0,D,7800,D,550,D,0,D,1,D,628,D,10279,2874,10312,10268,2890,2869,11016,11016,85690,85690,85690,85690,466,466,0,0,0,0,0,0,85062,85062,0,0,10778,10733,10778,10733,0,0,11868,11847,1410,1419,0,0,0,0,0
03567494,1,2016,2015,0,.15300,.15300,1,.15000,.15000,0,T,.00000,.00000,0,D,0,D,35139,D,0,D,0,D,0,D,0,D,0,D,7800,D,0,D,0,D,0,D,0,D,0,D,3257,0,3265,3255,0,0,5376,5376,35139,35139,0,0,0,0,0,0,0,0,0,0,35139,35139,0,0,3265,3255,3265,3255,0,0,0,0,0,0,0,0,0,0,0
03567524,1,2016,2015,0,.15300,.15300,2,.25000,.25000,43,D,.00000,.00000,0,D,0,D,65000,D,38000,D,-697,D,0,D,0,D,0,D,0,D,1700,D,40,D,0,D,0,D,8528,D,11961,0,12013,11943,0,0,15759,15759,102303,102303,0,0,0,0,0,0,0,0,0,0,102303,102303,0,0,12013,11943,12013,11943,0,0,0,0,0,0,0,0,0,0,0
03567534,1,2016,2015,0,.15300,.15300,2,.13650,.13650,38,D,.09000,.09000,0,D,0,D,43000,D,55000,D,0,D,0,D,0,D,0,D,0,D,3000,D,0,D,0,D,0,D,9684,D,9725,6234,9739,9720,6240,6231,14994,14994,98000,98000,98000,98000,0,0,0,0,0,0,0,0,88316,88316,0,0,9739,9720,9739,9720,4290,4310,12684,12684,0,0,0,0,0,0,0
