,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_resamp_imp_mean,nn_resamp_oracle,nn_wmse_imp_mean,nn_wmse_oracle,nn_deriv_imp_mean,nn_deriv_oracle
78,11.90318593,11.97120103,11.51333433,12.79185046,11.57834839,11.57990815,11.75813605,11.88293142,11.94681358,11.90651259,11.8093562,0,-98.07041446,-595.7887031,11.96145687,0
79,11.90318593,11.99062656,11.60144426,12.81580941,11.66860025,11.66231531,11.78569356,11.9302293,11.88886407,11.99177384,11.74806804,0,-377.084762,-1776.776862,11.92149899,0
80,11.90318593,11.9940136,11.44799007,12.67205729,11.59198796,11.56876521,11.75103792,11.94190656,11.84801806,11.91789333,11.72696948,0,-78.10507259,-97.2654924,11.84828873,0
81,11.90318593,11.79546047,11.26848136,12.64809466,11.41121977,11.40912155,11.61976765,11.79192387,11.63388038,11.76461516,11.82587452,0,-228.6724804,-1133.627618,11.65343227,0
82,11.90318593,11.90998781,11.30259469,12.53282151,11.41949418,11.3833543,11.56733047,11.87726278,11.59864044,11.86407404,11.63123636,0,-174.3820492,-72.67561013,11.66756225,0
83,11.90318593,11.94222264,11.41470312,12.64625636,11.51646117,11.51111893,11.74704666,11.91957415,11.73942177,11.84547493,11.64838615,0,-390.1500883,6.121719354,11.81736167,0
84,11.90318593,11.96246666,11.33168238,12.75453369,11.45431842,11.42713285,11.71453001,11.91645882,11.82689849,11.92891447,11.34830909,0,-299.9128096,-1048.997771,11.82376186,0
85,11.90318593,12.03787606,11.51936794,12.80428372,11.60569634,11.60474053,11.96854346,12.06596316,11.89277402,11.99315088,11.50769976,0,-176.1655956,5.940385877,11.96001938,0
86,11.90318593,11.90186507,11.2390798,12.67958985,11.35397644,11.34875086,11.61042283,11.83289083,11.68295246,11.83484201,11.3648612,0,-139.8874155,-122.8462108,11.63304484,0
87,11.90318593,11.82962757,11.29342518,12.53340548,11.46028451,11.44894955,11.59757766,11.79422898,11.73053403,11.75591264,11.50649708,0,-367.2570372,-367.1944734,11.75678922,0
