,true_mean,oracle_mean,naive_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
127,315.5805902,314.9626638,320.2073822,312.8675198,318.9026459,314.8591495,314.8432529,313.7918311,314.881699,259.9467846
128,315.5805902,316.3354633,320.632526,313.3993437,319.2495376,316.3557345,316.4893298,316.5412513,315.7011963,316.7883356
129,315.5805902,316.4008624,320.7611484,313.5855319,319.468977,316.4547844,317.1524161,316.5991076,314.0203025,316.5268388
130,315.5805902,315.4298407,320.6624056,313.2807493,319.2186119,315.3869656,315.3040735,314.8362213,311.7942126,315.6394659
131,315.5805902,315.4166644,320.1472665,313.1393976,318.7978403,315.4524009,315.936307,315.0202408,313.099093,315.0295376
132,315.5805902,315.2008395,319.7537284,312.3920389,318.4801676,315.3648476,315.3284782,315.1797163,314.9944974,315.38758
133,315.5805902,316.1553015,320.5352466,313.4225493,318.9581795,316.1793893,316.4927643,316.2973247,315.7883434,316.6423359
134,315.5805902,316.2006578,320.5048739,313.2079722,319.218044,316.1607321,316.1327156,316.2636845,315.8210731,315.9336725
135,315.5805902,316.020062,320.9172428,313.5867731,319.4800792,316.0501327,316.2044538,315.8820087,314.7794382,316.4232293
136,315.5805902,316.0812071,321.2427517,313.8253501,319.9770545,316.1261257,315.6804552,316.0922182,315.4120727,315.6521026
137,315.5805902,315.8272837,320.2472346,313.2225081,318.7896798,315.8151624,315.5224694,314.6942018,313.9514557,315.4968475
138,315.5805902,316.7201588,321.0643737,313.8445229,319.6509052,316.7231904,315.9537484,317.208229,315.5775766,316.1513208
139,315.5805902,314.9433483,319.569137,312.2848233,318.1469489,314.9129569,315.0249208,314.6709015,312.98414,314.3201784
140,315.5805902,314.9900652,319.7373977,312.5009297,318.4685977,314.9206032,315.3141538,315.0360211,311.6861697,315.7193922
141,315.5805902,315.6134565,320.2856762,313.1355121,318.9391136,315.7427034,315.3147149,315.2703375,315.0000032,316.0205314
142,315.5805902,314.8346017,319.2862841,312.1207428,317.8810935,314.7518814,314.7155038,314.8573829,312.9387071,314.4035337
143,315.5805902,315.3904175,320.4541704,313.0923228,319.0513632,315.2153468,315.3311633,314.3641708,314.3377958,315.3374815
144,315.5805902,316.1708888,321.0622981,313.7541768,319.7356431,316.1711164,315.939483,315.7379327,314.805352,316.2615264
145,315.5805902,316.438349,321.4836296,313.9579185,319.938653,316.2486037,316.495788,315.8864557,317.8693777,316.0101168
146,315.5805902,315.0903583,319.6011041,312.2595436,318.0460551,315.1007097,315.2413465,314.5775758,311.6903476,314.8564404
147,315.5805902,315.1983311,320.6296728,313.3162292,319.4492149,315.2243638,315.4215572,315.3929182,314.3173585,315.1612109
148,315.5805902,315.1643414,320.0660357,312.4989581,318.7142856,315.1826144,315.0884002,314.8626287,314.3038678,315.0993029
149,315.5805902,315.5929529,320.5954335,313.3863088,319.2762005,315.6119382,315.8164617,315.4211192,317.6942849,315.6126642
150,315.5805902,315.3803738,320.7248429,313.235392,319.2077748,315.2405575,315.4766022,314.5281292,314.4722982,314.921229
151,315.5805902,316.2022097,320.5063775,313.42728,319.2458812,316.221876,315.9402498,316.4179075,315.8271252,317.0410667
152,315.5805902,316.1029487,321.1441983,313.9983463,319.6994044,316.0662039,316.0497941,315.5337027,317.0755515,316.4549375
153,315.5805902,315.2765033,320.3973176,312.9376386,318.9962729,315.2162197,315.4505191,314.9945487,314.5066865,315.0601109
154,315.5805902,315.556657,320.0877201,312.696219,318.6367516,315.5438034,315.048787,315.0918004,312.6607719,315.6691667
155,315.5805902,315.7937601,320.3116308,312.9180547,318.9604756,315.7255322,315.3891068,314.8188067,315.4100432,316.3340567
156,315.5805902,314.9633537,319.8598399,312.5801689,318.3648643,314.8509872,314.3551841,315.3424912,316.213995,314.3183701
157,315.5805902,314.5148492,319.2804686,311.7568223,317.8147596,314.4313951,313.9392698,314.7547485,316.5370187,314.5364891
158,274.9993538,275.1761872,281.307715,272.2615913,279.8675497,275.2791884,275.1041367,275.3335615,273.5216409,275.164685
159,274.9993538,274.9194756,282.0332637,272.3384299,280.5296591,274.924431,274.2727528,274.7797606,275.1640616,274.4266087
160,274.9993538,275.2787252,281.6080313,272.2849249,280.1078551,275.1662923,274.9703957,275.4668841,272.9947489,226.8342247
161,274.9993538,275.9777471,282.2139101,273.5529549,280.8269196,275.9447131,275.3707334,275.8332725,275.8732074,276.2759567
162,274.9993538,274.995299,280.8300046,271.9239379,279.3660234,274.9818485,274.9834028,275.5109948,273.3081562,274.1928492
163,274.9993538,274.8666864,281.2090511,272.0896195,279.8867253,274.7884686,274.8071728,274.3220671,271.5324213,275.114701
164,274.9993538,274.5465306,280.5406368,271.4510167,279.1403146,274.4619672,274.6358958,274.1827849,273.9494511,274.432016
165,274.9993538,274.8700683,281.1201699,271.838676,279.6947019,274.9210099,274.4574329,274.7319786,273.6171326,275.2605662
166,274.9993538,274.8239835,280.940964,271.8817564,279.778985,274.7853091,274.5940546,275.0526231,273.6130173,275.0219152
167,274.9993538,276.0926364,281.6771653,272.717716,280.4285802,276.0165609,276.1066311,275.4710423,275.8965026,276.3379469
168,274.9993538,273.6308634,280.1512307,270.9721625,278.87343,273.5770754,273.2976566,273.8940119,273.0723632,273.5763593
169,274.9993538,275.6680952,281.8080232,272.6862516,280.3436841,275.5867024,275.4008967,275.4170687,273.739303,275.4809669
170,274.9993538,274.4054939,280.2915446,271.4792119,278.8733533,274.4376185,274.6544391,275.0945292,273.6624409,274.5619265
171,274.9993538,274.3071388,280.6551723,271.5095686,279.2737852,274.2936483,273.6715173,274.4522889,271.345581,274.3915735
172,274.9993538,274.840351,280.9239697,272.0034929,279.4005764,274.8322171,275.0475779,274.0892944,272.8724061,274.6833055
173,274.9993538,276.3553425,282.408468,273.3983036,281.1660601,276.3299508,276.7614124,276.1104644,274.8993538,276.1388426
174,274.9993538,275.6499637,282.3663417,273.2345326,281.1435763,275.7060672,276.2894651,275.241125,273.7606836,275.9183217
175,274.9993538,275.0154327,281.6991171,272.7402159,280.2947329,275.0675234,274.6532653,275.1566916,274.9903357,275.2928485
176,274.9993538,274.1726203,280.803592,271.7736469,279.5600458,274.0530976,274.2720429,273.7455764,272.0824528,273.7312651
177,274.9993538,275.4269957,281.8156531,272.7329323,280.4422287,275.3927258,275.7211721,274.7906195,274.6072776,275.5886547
178,274.9993538,274.9762644,281.0952668,272.1479189,279.479573,275.0245126,275.0116232,274.8274172,272.5104076,275.5188466
179,274.9993538,274.7899044,281.8073897,272.2699903,280.5192752,274.9260682,274.8131871,275.0945238,274.6269693,274.673092
180,274.9993538,275.4611453,281.6808401,272.2622947,280.1465659,275.3270324,275.27663,274.9607933,274.3166118,276.0992935
181,274.9993538,275.1440864,281.1375749,271.9994527,279.7221315,275.1177465,275.1536884,274.6491261,273.9714781,275.3049372
182,274.9993538,275.174505,281.685075,272.6606017,280.2482586,275.1414944,275.2989716,275.274613,273.7324993,275.1289658
183,274.9993538,274.7200632,281.495678,272.4025213,280.1776321,274.7591707,275.3754333,274.9000266,275.6122115,274.5732951
184,274.9993538,274.7116293,281.3644251,272.0222692,280.022712,274.7069304,274.7904386,274.4399926,274.5761332,274.6729786
185,274.9993538,275.3313591,281.434939,272.1211579,280.1688009,275.3575961,275.9479113,275.0154309,273.3530361,275.2048612
186,274.9993538,273.9763298,279.7447046,270.736391,278.3167418,273.8224892,274.0145375,274.2903467,274.0202755,274.1468772
187,274.9993538,275.7650365,281.6464894,272.4589854,280.2323977,275.7795991,275.9493552,275.8928412,272.899249,275.0843669
188,274.9993538,275.7074637,281.6994458,272.6318612,280.3731779,275.7146248,276.2115145,276.1246527,271.6282812,275.519176
189,274.9993538,275.7179092,281.9059209,273.0278563,280.4336317,275.5722781,275.9952865,276.3083562,274.2452206,275.8265292
190,274.9993538,274.5378686,280.5165284,271.4362871,279.293469,274.6845446,274.9594849,273.8839111,272.381454,274.3384047
191,274.9993538,274.4638277,280.6558024,271.5279318,279.2689573,274.4946851,274.0912894,273.5827147,273.1527347,274.4494478
192,274.9993538,275.6498607,281.5875493,272.6356575,280.2507237,275.6507773,275.7572766,276.233026,271.8699731,227.1005197
193,274.9993538,274.1575875,280.4276882,271.3869817,278.9734838,274.0381545,273.4857384,274.074044,270.7678156,274.1898504
194,274.9993538,275.0145843,281.3353039,272.2067425,279.9949969,274.9263102,275.1849794,275.1110088,275.1368099,274.7985644
195,274.9993538,274.8456491,281.1275109,272.0250734,279.7052778,274.6934476,274.1565858,275.0212919,272.3853881,275.1682986
196,274.9993538,274.6435009,280.1383054,271.2434906,278.9321549,274.5332911,274.399908,273.6044057,273.2284299,274.5807909
197,274.9993538,274.5730535,280.8708526,271.6183393,279.5845567,274.6265422,274.1092724,274.6370352,273.2110171,274.3505677
198,274.9993538,275.1502042,281.3390941,272.1334639,279.9022433,275.0588399,275.100849,274.5637714,273.9368799,275.1148545
199,274.9993538,275.5875051,281.6212662,272.6361922,280.2419057,275.5093121,274.8341393,274.8712014,274.4843084,275.7544962
200,274.9993538,273.9110946,281.0372988,271.6799888,279.5861372,273.9724545,273.8641875,273.6667268,270.7229511,274.3589439
201,274.9993538,274.449971,280.5324413,271.2803726,279.1360534,274.5354425,274.6189864,274.3434761,274.3185633,274.7169752
202,274.9993538,274.7088507,281.1214624,272.1347265,279.727684,274.7993741,274.430685,275.0031512,273.7233111,274.7126423
203,274.9993538,274.0940012,280.3814129,271.492454,278.9512371,274.1303471,273.8161408,273.8678886,273.2673345,273.781228
204,274.9993538,274.617452,280.9491316,271.5793399,279.3415208,274.7102978,275.0692038,274.1531093,272.3607555,274.3292064
205,274.9993538,276.3509317,282.2221162,273.0773485,280.9271567,276.3592382,276.3296727,276.3709904,273.3649446,276.9523428
206,274.9993538,274.5950835,280.7155263,271.7081214,279.4139099,274.4849002,274.5757939,274.298703,274.8537418,274.7894891
207,274.9993538,276.0315137,281.8285584,272.8059729,280.5239426,275.9949602,276.3050212,276.3390972,274.0130028,275.6414083
208,274.9993538,275.3741982,281.9989293,272.7486879,280.6755827,275.4793273,275.2919166,275.3240849,277.1453177,275.7748893
209,274.9993538,274.9125514,280.2558148,271.3057789,278.9485176,274.7765185,274.3301559,274.3878388,274.1122174,274.2065968
210,274.9993538,274.4548748,281.160582,272.2498759,279.8617331,274.6534747,274.4167562,274.1565835,274.0875733,274.9341462
211,274.9993538,274.9654449,280.8349418,271.8349443,279.4901301,274.9931035,275.2425018,275.2240393,273.829355,275.0702768
212,274.9993538,275.2399485,281.9847472,272.4061889,280.4765566,275.2730179,274.9042316,274.8925812,274.9770229,275.3380146
213,296.0141914,294.8850465,299.5810213,292.0613641,298.2070321,294.8028948,295.101989,295.1281842,293.8459327,294.3324339
214,296.0141914,296.3770928,300.9720138,293.2488984,299.4470349,296.350594,295.7601386,296.7059312,295.0394037,297.0306174
215,296.0141914,294.4563122,299.2949203,291.6831712,297.930047,294.4151364,294.3923065,294.5010397,292.952807,294.7738015
216,296.0141914,296.1239453,301.1840395,293.2873093,299.8000726,296.0675257,296.452609,295.8868742,293.7205807,295.9104243
217,296.0141914,296.0040377,300.8678174,293.3365167,299.3341161,296.1419501,296.0260545,296.3492362,294.5599786,295.9017179
