,true_mean,oracle_mean,naive_mean,pi_naive_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
352,0,21.5623223,26.21390991,26.13096609,26.17203641,24.41153064,26.20847112,0,0
353,0,21.57154766,26.16361988,26.0772053,26.16386372,21.61247617,23.18813192,0,0
354,0,21.51911048,26.18567514,26.09885087,26.04044545,25.99782781,26.01931981,0,0
355,0,21.56417416,26.17554242,26.08419239,26.15961033,26.1077978,26.13584234,0,0
356,0,21.54688184,26.15062627,26.06957835,26.18966075,26.29811744,26.19052726,0,0
357,0,21.62631167,26.17046263,26.08360554,26.21816691,26.31004742,24.10346589,0,0
358,0,21.50943436,26.13544403,26.05009109,26.10701429,22.70542333,25.89702148,0,0
359,0,21.56411487,26.21017549,26.13080983,26.14946252,26.16122332,26.15222204,0,0
360,0,21.36324946,26.12282167,26.03910201,25.94052291,25.90041579,26.00694974,0,0
361,0,21.49474627,26.20055482,26.10423623,26.05594364,25.87683201,26.05381297,0,0
362,0,21.57929358,26.16860436,26.0828594,26.21003329,23.99415297,26.21657928,0,0
363,0,21.61980334,26.19609879,26.09961838,26.19038825,26.09676194,23.9067184,0,0
364,0,21.45898418,26.16184783,26.0646493,26.03560668,23.25780015,21.49929348,0,0
365,0,21.53442714,26.13681685,26.03522625,26.13942243,24.88605851,26.06881801,0,0
366,0,21.54812611,26.19709829,26.10856867,26.13840194,21.3613486,21.58879095,0,0
367,0,21.56030821,26.16364985,26.09012844,26.1757712,24.43962922,22.54929298,0,0
368,0,21.59101409,26.15535025,26.05011026,26.15180248,26.08796933,26.06196007,0,0
369,0,21.47263993,26.14346028,26.06586799,25.98856769,25.97286198,21.43288739,0,0
370,0,21.48140392,26.18661852,26.09485457,26.05342756,26.01950926,26.07048245,0,0
371,0,21.51108399,26.17708348,26.08401425,26.13820181,26.09433703,21.5522212,0,0
372,0,21.5768,26.13967262,26.0505112,26.15990336,26.14830952,26.10148271,0,0
373,0,21.65185177,26.19126884,26.08902276,26.20632573,26.12681954,26.2801366,0,0
374,0,21.53438506,26.17561459,26.07078334,26.16911234,25.70896135,26.17001277,0,0
375,0,21.53247082,26.17422029,26.08142045,26.17077565,26.1841868,25.85455043,0,0
376,0,21.57930026,26.09636784,26.00754186,26.16020237,26.15883595,22.28924669,0,0
377,0,21.48644471,26.17714843,26.08488842,26.04362419,26.02134762,26.07300766,0,0
378,0,21.57134866,26.15085619,26.05461197,26.18989232,21.05348449,25.8867631,0,0
379,0,21.46791445,26.1633025,26.07685314,26.06229706,21.54805576,26.13110559,0,0
380,0,21.55314313,26.15236581,26.05784488,26.15070016,26.16430505,26.06314323,0,0
381,0,21.50731306,26.14583538,26.0542403,26.08836043,25.99296144,24.4801707,0,0
382,0,21.48645002,26.19147746,26.1226707,26.10118307,26.12697291,24.4586331,0,0
383,0,21.58897128,26.16645363,26.08241797,26.16011603,26.21968338,21.6297023,0,0
384,0,21.57392644,26.16453421,26.08792083,26.15347831,26.19059461,26.12627207,0,0
385,0,21.65829838,26.16897589,26.07469248,26.26312934,25.76770164,26.28020514,0,0
386,0,21.52027476,26.17537071,26.0856203,26.09050864,25.02226844,21.55936141,0,0
387,0,21.55125112,26.14092773,26.04922132,26.06866095,23.20696493,26.03376636,0,0
388,0,21.57484704,26.18125492,26.08567189,26.17321414,26.13195704,26.21874933,0,0
389,0,21.47204119,26.15266861,26.0481901,26.04747101,26.05639767,26.07939683,0,0
390,0,21.42132494,26.15240436,26.0659714,26.00495769,25.99868878,25.99068161,0,0
391,0,21.48487452,26.17111574,26.09054102,26.07668981,26.08497308,24.35156925,0,0
