"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02954835",22,0,"1",.,"A"
"20152","02954854",20,0,"1",.,"A"
"20152","02954904",52,0,"1",.,"A"
"20152","02954964",6,0,"1",.,"A"
"20152","02954974",34,0,"1",.,"A"
"20152","02955004",15,0,"1",.,"A"
"20152","02955114",33,0,"1",.,"A"
"20152","02955124",42,0,"1",.,"A"
"20152","02955174",11,0,"1",.,"A"
"20152","02955374",12,0,"1",.,"A"
"20152","02955394",18,0,"1",.,"A"
"20152","02955404",22,0,"1",.,"A"
"20152","02955414",26,0,"1",.,"A"
"20152","02955524",27,0,"1",.,"A"
"20152","02955624",9,0,"1",.,"A"
"20152","02955654",27,0,"1",.,"A"
"20152","02955664",27,0,"1",.,"A"
"20152","02955684",19,0,"1",.,"A"
"20152","02955744",32,0,"1",.,"A"
"20152","02955774",17,0,"1",.,"A"
"20152","02955814",15,0,"1",.,"A"
"20152","02955904",20,0,"1",.,"A"
"20152","02955934",28,0,"1",.,"A"
"20152","02966823",41,0,"1",.,"A"
"20152","02966843",39,0,"1",.,"A"
"20152","02966913",27,0,"1",.,"A"
"20152","02966923",28,0,"1",.,"A"
"20152","02966943",26,0,"1",.,"A"
"20152","02966953",23,0,"1",.,"A"
"20152","02966963",16,0,"1",.,"A"
"20152","02966973",43,0,"1",.,"A"
"20152","02966993",64,0,"1",.,"A"
"20152","02967013",59,0,"1",.,"A"
"20152","02967023",16,0,"1",300,"D"
"20152","02967033",75,0,"1",50,"D"
"20152","02967053",59,0,"1",.,"A"
"20152","02967063",23,0,"1",.,"A"
"20152","02967073",27,0,"1",.,"A"
"20152","02967105",6,0,"1",.,"A"
"20152","02967143",37,0,"1",.,"A"
"20152","02967233",28,0,"1",.,"A"
"20152","02967283",14,0,"1",.,"A"
"20152","02967293",47,0,"1",.,"A"
"20152","02967323",35,0,"1",.,"A"
"20152","02967383",14,0,"1",.,"A"
"20152","02967473",21,0,"1",.,"A"
"20152","02967483",5,0,"1",.,"A"
"20152","02967585",14,0,"1",.,"A"
"20152","02967605",44,0,"1",.,"A"
"20152","02967693",38,0,"1",.,"A"
"20152","02967733",34,0,"1",.,"A"
"20152","02967743",10,0,"1",.,"A"
"20152","02967753",61,0,"1",.,"A"
"20152","02967863",14,0,"1",.,"A"
"20152","02967873",65,0,"1",.,"A"
"20152","02967883",33,0,"1",.,"A"
"20152","02967913",19,0,"1",.,"A"
"20152","02967953",18,0,"1",.,"A"
"20152","02967963",42,0,"1",.,"A"
"20152","02967983",12,0,"1",.,"A"
"20152","02968033",17,0,"1",.,"A"
"20152","02968053",21,0,"1",0,"D"
"20152","02968063",17,0,"1",.,"A"
"20152","02968103",48,0,"1",.,"A"
"20152","02968133",26,0,"1",.,"A"
"20152","02968173",39,0,"1",.,"A"
"20152","02968193",48,0,"1",.,"A"
"20152","02968213",30,0,"1",.,"A"
"20152","02968233",23,0,"1",.,"A"
"20152","02968243",33,0,"1",.,"A"
"20152","02968263",38,0,"1",.,"A"
"20152","02968273",16,0,"1",150,"D"
"20152","02968373",18,0,"1",.,"A"
"20152","02968403",26,0,"1",.,"A"
"20152","02968413",14,0,"1",.,"A"
"20152","02968423",38,0,"1",.,"A"
"20152","02968463",40,0,"1",.,"A"
"20152","02968503",63,0,"1",.,"A"
"20152","02968523",19,0,"1",.,"A"
"20152","02968543",31,0,"1",.,"A"
"20152","02968603",20,0,"1",.,"A"
"20152","02968673",31,0,"1",.,"A"
"20152","02968693",26,0,"1",.,"A"
"20152","02968763",24,0,"1",.,"A"
"20152","02968803",28,0,"1",.,"A"
"20152","02968883",28,0,"1",.,"A"
"20152","02968923",24,0,"1",.,"A"
"20152","02968943",9,0,"1",.,"A"
"20152","02968953",46,0,"1",.,"A"
"20152","02968963",69,0,"1",.,"A"
"20152","02968983",24,0,"1",.,"A"
"20152","02968993",24,0,"1",.,"A"
"20152","02969023",25,0,"1",.,"A"
"20152","02969063",29,0,"1",.,"A"
"20152","02969083",29,0,"1",.,"A"
"20152","02969095",12,0,"1",.,"A"
"20152","02969103",11,0,"1",.,"A"
"20152","02969113",32,0,"1",.,"A"
"20152","02969213",24,0,"1",.,"A"
"20152","02969225",4,0,"1",.,"A"
"20152","02969313",14,0,"1",.,"A"
"20152","02969333",49,0,"1",.,"A"
"20152","02969373",31,0,"1",.,"A"
"20152","02969453",57,0,"1",.,"A"
"20152","02969483",37,0,"1",.,"A"
"20152","02969503",17,0,"1",.,"A"
"20152","02969543",14,0,"1",.,"A"
"20152","02969633",15,0,"1",.,"A"
"20152","02969663",75,0,"1",.,"A"
"20152","02969693",39,0,"1",.,"A"
"20152","02969713",35,0,"1",.,"A"
"20152","02969773",33,0,"1",.,"A"
"20152","02969793",41,0,"1",.,"A"
"20152","02969853",21,0,"1",5,"D"
"20152","02969893",26,0,"1",.,"A"
"20152","02969903",73,0,"1",.,"A"
"20152","02969933",37,0,"1",.,"A"
"20152","02969953",16,0,"1",.,"A"
"20152","02969963",41,0,"1",.,"A"
"20152","02969973",51,0,"1",.,"A"
"20152","02970003",34,0,"1",.,"A"
