"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20152","03059434",20,0,"5","01","D","100","D",0.0784,"D",105000,"D",15,"D",1156,"D","3","D","4","D",,"A",,"A",162,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","01","D","2008","D","2","D",,"A",70171,"D",69635,"D",69097,"D","01","D",,"C",,"C",,"C",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059544",16,0,"5","01","D","100","D",0.0488,"F",60000,"F",30,"F",490,"F",,"A","4","F",,"A",,"A",172,"F",179,"F",180,"F",181,"F",139,"F",138,"F",137,"F",,"A","01","F","1997","F","1","F",,"A",34118,"F",33939,"F",33759,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059582",15,0,"5","01","D","100","D",0.07,"D",30000,"D",15,"D",658,"D","3","D","4","D",,"A",,"A",388,"D",173,"D",174,"D",175,"D",97,"D",96,"D",95,"D",,"A","07","D","2006","D","1","D",,"A",16638,"D",16465,"D",16291,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059752",16,0,"5","01","D","100","D",0.0784,"F",74864,"F",30,"F",541,"F",,"A",,"A",,"A",,"A",0,"F",68,"F",69,"F",69,"F",473,"F",472,"F",472,"F",,"A","09","F","2011","F","1","F",,"A",72366,"F",72297,"F",72229,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059893",22,0,"5","01","D","100","D",0.0784,"D",110705,"D",30,"D",1013,"D","3","D","4","D","5","D",,"A",213,"D",86,"D",87,"D",87,"D",714,"D",713,"D",713,"D",,"A","08","D","2013","D","1","D",,"A",109244,"D",109158,"D",109071,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059932",13,0,"5","01","D","100","D",0.054,"D",70000,"D",25,"D",495,"D","3","D","4","D",,"A",,"A",69,"D",184,"D",184,"D",185,"D",242,"D",242,"D",241,"D",,"A","10","D","2005","D","1","D",,"A",53881,"D",53698,"D",53513,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059983",8,0,"1","01","D","100","D",0.0525,"D",136000,"D",30,"D",1292,"D","3","D","4","D",,"A",,"A",541,"D",205,"D",206,"D",207,"D",546,"D",545,"D",544,"D",,"A","11","D","2009","D","1","D",,"A",124712,"D",124507,"D",124301,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060572",44,0,"5","01","D","100","D",0.04,"D",416828,"D",30,"D",2400,"D","3","D","4","D",,"A",,"A",410,"D",636,"D",638,"D",640,"D",1354,"D",1352,"D",1350,"D",,"A","09","D","2013","D","1","D",,"A",406341,"D",405706,"D",405068,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060583",43,0,"5","01","D","100","D",0.09,"D",65497,"D",30,"D",527,"D",,"A",,"A",,"A",,"A",0,"D",223,"D",225,"D",227,"D",304,"D",302,"D",300,"D",,"A","09","D","1994","D","1","D",,"A",40514,"D",40291,"D",40066,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060644",12,0,"5","01","D","100","D",0.0625,"F",36000,"F",30,"F",283,"F",,"B",,"B",,"B",,"B",61,"F",201,"F",202,"F",203,"F",21,"F",20,"F",19,"F",,"A","10","F","1986","F","1","F",,"A",4082,"F",3882,"F",3680,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060852",35,0,"5","01","D","100","D",0.055,"D",120000,"D",20,"D",989,"D",,"B",,"B",,"B",,"B",164,"D",609,"D",612,"D",615,"D",216,"D",213,"D",210,"D",,"A","08","D","2000","D","1","D",,"A",47043,"D",46434,"D",45822,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060873",7,0,"5","01","D","100","D",0.05,"D",190000,"D",30,"D",1900,"D","3","D",,"A",,"A",,"A",880,"D",289,"D",291,"D",292,"D",731,"D",729,"D",728,"D",,"A","05","D","2010","D","1","D",,"A",175344,"D",175054,"D",174764,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03060942",12,0,"5","01","D","100","D",0.052,"D",95000,"D",30,"D",920,"D","3","D",,"A",,"A",,"A",398,"D",132,"D",132,"D",133,"D",390,"D",390,"D",389,"D",,"A","09","D","2011","D","1","D",,"A",90061,"D",89930,"D",89797,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03061383",11,0,"5","01","D","100","D",0.0784,"F",97005,"F",30,"F",994,"F","3","F","4","F","5","F",,"A",293,"F",71,"F",72,"F",72,"F",630,"F",629,"F",629,"F",,"A","06","F","2014","F","1","F",,"A",96384,"F",96313,"F",96241,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03061464",20,0,"1","01","D","100","D",0.0475,"D",199000,"D",30,"D",1500,"D","3","D","4","D",,"A","6","D",462,"D",266,"D",267,"D",268,"D",772,"D",771,"D",770,"D",,"A","11","D","2013","D","1","D",,"A",195140,"D",194874,"D",194608,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03061483",17,0,"5","01","D","100","D",0.0973,"D",93274,"D",30,"D",800,"D",,"C",,"C",,"C",,"C",0,"D",458,"D",462,"D",466,"D",342,"D",338,"D",334,"D",,"A","11","D","1990","D","1","D",,"A",42147,"D",41689,"D",41227,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20152","03061633",12,0,"5","01","D","100","D",0.04,"D",86929,"D",15,"D",643,"D",,"A",,"A",,"A",,"A",0,"D",620,"D",622,"D",624,"D",23,"D",21,"D",19,"D",,"A","01","D","2001","D","1","D",,"A",6934,"D",6314,"D",5693,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03061874",28,0,"5","01","D","100","D",0.058,"D",71925,"D",30,"D",847,"D","3","D","4","D",,"A",,"A",425,"D",125,"D",126,"D",126,"D",297,"D",296,"D",296,"D",,"A","02","D","2006","D","1","D",,"A",61413,"D",61287,"D",61162,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062194",23,0,"5","01","D","100","D",0.0784,"D",65000,"D",15,"D",970,"D","3","D","4","D",,"A",,"A",355,"D",405,"D",408,"D",410,"D",210,"D",207,"D",205,"D",,"A","06","D","2005","D","1","D",,"A",32125,"D",31720,"D",31312,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062354",18,0,"5","01","D","100","D",0.0784,"F",595264,"V",30,"F",3400,"F","3","F","4","F",,"A",,"A",148,"F",365,"F",367,"F",370,"F",2887,"F",2885,"F",2882,"F",,"A","01","F","2013","F","1","F",,"A",557593,"V",557328,"V",556942,"V","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062364",10,0,"1","01","D","100","D",0.06,"D",86000,"D",30,"D",600,"D","3","D","4","D",,"A",,"A",84,"D",126,"D",126,"D",127,"D",390,"D",390,"D",389,"D",,"A","10","D","2008","D","1","D",,"A",78073,"D",77947,"D",77821,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062494",23,0,"5","01","D","100","D",0.0425,"D",372000,"D",30,"D",2309,"D","3","D","4","D",,"A",,"A",479,"D",.,"A",.,"A",533,"D",.,"A",.,"A",1297,"D",,"A","05","D","2014","D","1","D","042015","D",.,"A",.,"A",366262,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062494",41,0,"5","01","D","100","D",0.0425,"D",372000,"D",30,"D",1890,"D",,"B",,"B",,"B",,"B",60,"D",529,"D",531,"D",.,"A",1301,"D",1299,"D",.,"A","042015","D","05","D","2014","D","1","D",,"A",367322,"D",366793,"D",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062502",10,0,"5","01","D","100","D",0.1,"D",35000,"D",22,"D",400,"D",,"B",,"B",,"B",,"B",72,"D",260,"D",262,"D",264,"D",68,"D",66,"D",64,"D",,"A","05","D","1995","D","1","D",,"A",8195,"D",7936,"D",7674,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062604",13,0,"5","01","D","100","D",0.04,"D",180000,"D",30,"D",1550,"D","3","D","4","D",,"A",,"A",691,"D",281,"D",282,"D",283,"D",578,"D",577,"D",576,"D",,"A","01","D","2013","D","1","D",,"A",173259,"D",172978,"D",172695,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062742",16,0,"5","01","D","100","D",0.058,"D",110000,"D",30,"D",900,"D","3","D","4","D","5","D",,"A",255,"D",184,"D",185,"D",186,"D",461,"D",460,"D",459,"D",,"A","09","D","2006","D","1","D",,"A",95288,"D",95104,"D",94919,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062832",29,0,"5","01","D","100","D",0.0425,"D",160000,"D",30,"D",1048,"D","3","D","4","D","5","D",,"A",261,"D",303,"D",304,"D",305,"D",484,"D",483,"D",482,"D",,"A","08","D","2007","D","1","D","022015","D",136693,"D",136391,"D",136087,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03062914",28,0,"1","01","D","100","D",0.0784,"D",100000,"D",25,"D",890,"D","3","D","4","D",,"A",,"A",129,"D",621,"D",625,"D",629,"D",140,"D",136,"D",132,"D",,"A","09","D","1992","D","1","D",,"A",21480,"D",20859,"D",20235,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
