"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20161","03166954",20,0,"5","01","D","100","D",0.0859,"D",18282,"D",15,"D",181,"D",,"A",,"A",,"A",,"A",0,"D",57,"D",57,"D",58,"D",124,"D",124,"D",123,"D",,"A","06","D","2014","D","1","D",,"A",17323,"D",17266,"D",17208,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03167264",53,0,"5","01","D","100","D",0.0859,"F",60257,"F",10,"F",750,"F",,"A",,"A",,"A",,"A",0,"F",355,"F",357,"F",360,"F",395,"F",393,"F",390,"F",,"A","09","F","2014","F","1","F",,"A",55230,"F",54875,"F",54518,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03167684",25,0,"5","01","D","100","D",0.0859,"D",14949,"D",15,"D",148,"D",,"A",,"A",,"A",,"A",0,"D",100,"D",101,"D",101,"D",48,"D",47,"D",47,"D",,"A","07","D","2005","D","1","D",,"A",6709,"D",6609,"D",6508,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03168964",19,0,"5","01","D","100","D",0.0859,"D",4864,"D",5,"D",100,"D",,"A",,"A",,"A",,"A",0,"D",87,"D",88,"D",89,"D",13,"D",12,"D",11,"D",,"A","07","D","2012","D","1","D",,"A",1771,"D",1683,"D",1596,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03171524",58,0,"5","01","D","100","D",0.0859,"D",10000,"D",15,"D",197,"D",,"A",,"A",,"A","6","D",98,"D",34,"D",35,"D",35,"D",65,"D",64,"D",64,"D",,"A","04","D","2013","D","1","D",,"A",9018,"D",8984,"D",8949,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A"
"20161","03172134",15,0,"5","01","D","100","D",0.0474,"F",50000,"F",15,"F",455,"F",,"B",,"B",,"B",,"B",66,"F",261,"F",263,"F",264,"F",128,"F",126,"F",125,"F",,"A","03","F","2009","F","1","F",,"A",32286,"F",32024,"F",31762,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03187063",29,0,"5","01","D","100","D",0.0859,"D",60000,"D",15,"D",594,"D",,"A",,"A",,"A",,"A",0,"D",329,"D",331,"D",333,"D",671,"D",669,"D",667,"D",,"A","10","D","2013","D","2","D",,"A",55709,"D",55514,"D",55317,"D","01","D",,"A","2","D",,"A",1000,"D",1000,"D",1000,"D","1","D","2","D"
"20161","03188863",24,0,"5","01","D","100","D",0.08,"D",10000,"D",17,"D",90,"D",,"A",,"A",,"A",,"A",0,"D",57,"D",58,"D",58,"D",33,"D",32,"D",32,"D",,"A","07","D","2004","D","1","D",,"A",4917,"D",4860,"D",4802,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03190473",13,0,"5","01","D","100","D",0.0859,"F",50000,"F",20,"F",437,"F",,"A",,"A",,"A",,"A",0,"F",0,"F",0,"F",0,"F",0,"F",0,"F",0,"F",,"A","06","F","2004","F","2","F",,"A",31957,"F",31749,"F",31539,"F","01","D",,"A",,"A",,"A",0,"F",0,"F",0,"F","1","D","2","D"
"20161","03191133",43,0,"5","01","D","100","D",0.04,"D",37700,"D",20,"D",228,"D",,"A",,"A",,"A",,"A",0,"D",99,"D",100,"D",100,"D",29,"D",28,"D",28,"D",,"A","02","D","2002","D","2","D",,"A",15315,"D",15138,"D",14960,"D","01","D","1","D",,"A",,"A",128,"D",128,"D",128,"D","1","D","2","D"
