"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20154","02989105",18,0,"2","300","D","1","D","6","D","08","D",.,"A",570,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989185",1,0,"1","200","D","1","D",,"A","08","D",.,"A",560,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989185",2,0,"1","200","D","1","D",,"A","09","D",.,"A",560,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989185",3,0,"1","200","D","1","D",,"A","10","D",.,"A",560,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",18,0,"1","100","D","1","D",,"A","09","D",.,"A",275,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",19,0,"1","100","D","1","D",,"A","08","D",.,"A",125,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",20,0,"1","100","D","1","D",,"A","10","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",21,0,"1","200","D","1","D",,"A","09","D",.,"A",1005,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",22,0,"1","300","D","1","D","1","D","09","D",.,"A",2735,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",23,0,"1","350","D","1","D","1","D","10","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989575",24,0,"1","350","D","1","D","4","D","08","D",.,"A",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989655",4,0,"1","300","D","1","D","5","D","08","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989785",4,0,"1","340","D","1","D",,"A","10","D",.,"A",250,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02989965",6,0,"1","100","D","1","D",,"A","10","D",.,"A",175,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990005",11,0,"1","100","D","1","D",,"A","09","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990005",12,0,"1","100","D","1","D",,"A","09","D",.,"A",135,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990115",11,0,"1","350","D","1","D","2","D","08","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990125",4,0,"1","100","D","1","D",,"A","08","D",.,"A",280,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990275",5,0,"1","350","D","1","D","2","D","08","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990285",4,0,"1","100","D","1","D",,"A","13","D",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990285",5,0,"1","350","D","1","D","2","D","08","D",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02990375",2,0,"2","350","D","1","D","2","D","08","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02991525",11,0,"1","360","D","1","D",,"A","10","D",.,"A",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992085",6,0,"1","200","D","1","D",,"A","10","D",.,"A",675,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992085",7,0,"1","200","D","1","D",,"A","09","D",.,"A",1125,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992085",8,0,"2","200","D","1","D",,"A","08","D",.,"A",900,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992345",6,0,"1","300","D","1","D","2","D","13","D",.,"A",675,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992435",8,0,"1","380","D","1","D",,"A","10","D",.,"A",.,"H","350","D","360","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992435",8,1,"1","350","D","1","D","1","D","10","D",.,"A",3,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992435",8,2,"1","360","D","1","D",,"A","10","D",.,"A",3,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992435",9,0,"2","100","D","1","D",,"A","08","D",.,"A",250,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992685",4,0,"1","200","D","1","D",,"A","13","D",.,"A",349,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992815",8,0,"1","350","D","1","D","2","D","10","D",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992815",9,0,"1","300","D","1","D","6","D","10","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992815",10,0,"2","350","D","1","D","1","D","08","D",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992905",5,0,"1","380","D","1","D","2","D","13","D",.,"A",.,"H","380","D","300","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992905",5,1,"1","300","D","1","D","2","D","13","D",.,"A",46,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992905",5,2,"1","350","D","1","D","2","D","13","D",.,"A",4,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992935",5,0,"1","350","D","1","D","2","D","08","D",.,"A",174,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992935",6,0,"1","360","D","1","D",,"A","09","D",.,"A",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992935",7,0,"1","320","D","1","D",,"A","09","D",.,"A",57,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02992935",8,0,"1","320","D","1","D",,"A","10","D",.,"A",98,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993145",2,0,"1","350","D","1","D","2","D","09","D",.,"A",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993145",3,0,"1","350","D","1","D","2","D","10","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993325",10,0,"2","360","D","1","D",,"A","08","D",.,"A",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993375",6,0,"1","350","D","1","D","2","D","08","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993435",13,0,"1","300","D","1","D","6","D","09","D",.,"A",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993475",11,0,"2","200","D","1","D",,"A","08","D",.,"A",135,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",7,0,"1","300","D","1","D","1","D","13","D",.,"A",877,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",8,0,"1","300","D","2","D","1","D","09","D",.,"A",3600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",9,0,"1","350","D","1","D","1","D","09","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",10,0,"1","350","D","2","D","1","D","09","D",.,"A",350,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",11,0,"2","310","D","2","D",,"A","08","D",.,"A",725,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",12,0,"2","320","D","2","D",,"A","08","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993815",13,0,"2","350","D","2","D","1","D","08","D",.,"A",450,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",8,0,"2","300","D","2","D","1","D","08","D",.,"A",6243,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",9,0,"2","300","D","1","D","1","D","08","D",.,"A",3600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",10,0,"2","330","D","1","D",,"A","08","D",.,"A",.,"H","320","D","310","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",10,1,"2","310","D","1","D",,"A","08","D",.,"A",2000,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",10,2,"2","320","D","1","D",,"A","08","D",.,"A",2000,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20154","02993835",11,0,"2","350","D","2","D","1","D","08","D",.,"A",72,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
