"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_","DEEDED","DEEDED_"
"20152","03168421",17,0,"1","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D",,"A"
"20152","03168471",21,0,"1","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",640,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168511",28,0,"1","01","D","200","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",2700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03168531",10,0,"1","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168601",5,0,"1","01","D","100","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168631",18,0,"1","01","D","100","D",.,"A","1","D",,"B","2005","D",.,"A",.,"A",.,"A",600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168651",7,0,"1","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168681",11,0,"1","01","D","100","D",.,"A","3","D",,"B","1973","D",.,"A",.,"A",.,"A",2900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168701",10,0,"1","01","D","100","D",.,"A","3","D",,"B","1990","D",.,"A",.,"A",.,"A",60,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168761",57,0,"1","01","D","100","D",0.25,"D","3","D","04","F","2008","D",.,"A",.,"A",.,"A",9800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03168771",35,0,"1","01","D","100","D",.,"A","3","D","01","D","2014","D",.,"A",.,"A",.,"A",1900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168781",19,0,"1","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168791",19,0,"1","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",2700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168841",28,0,"1","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",1900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168841",29,0,"1","02","D","400","D",.,"A","3","D","04","F","1975","D",.,"A",.,"A",.,"A",150,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A",,"A"
"20152","03168851",10,0,"1","01","D","100","D",.,"A","3","D",,"B","1995","D",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168861",19,0,"1","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",230,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168871",9,0,"1","01","D","100","D",0.01,"D","3","D",,"B","1999","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03168881",13,0,"1","01","D","100","D",.,"A","3","D","05","F","2004","D",.,"A",.,"A",.,"A",4800,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168891",9,0,"1","01","D","300","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",8000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03168951",20,0,"1","01","D","100","D",.,"A","3","D",,"B","1987","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168961",9,0,"1","01","D","100","D",.,"A","3","D","05","F","1990","D",.,"A",.,"A",.,"A",3300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168971",17,0,"1","01","D","100","D",.,"A","3","D",,"B","1975","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168971",18,0,"1","02","D","300","D",.,"A","1","D",,"B","2013","D",.,"A",.,"A",.,"A",1400,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03169011",14,0,"1","01","D","100","D",.,"A","3","D",,"B","1987","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169021",11,0,"1","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169061",13,0,"1","01","D","100","D",.,"A","3","D",,"B","1997","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169081",42,0,"1","01","D","100","D",.,"A","3","D",,"B","2008","D",.,"A",.,"A",.,"A",15773,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169101",14,0,"1","01","D","100","D",.,"A","3","D",,"B","1974","D",.,"A",.,"A",.,"A",900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169121",11,0,"1","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169151",16,0,"1","01","D","100","D",.,"A","3","D",,"B","1961","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169171",8,0,"1","01","D","100","D",.,"A","3","D",,"B","1981","D",.,"A",.,"A",.,"A",8000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169191",11,0,"1","01","D","100","D",.,"A","3","D",,"B","1973","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169261",19,0,"1","01","D","100","D",.,"A","3","D","04","F","2003","D",.,"A",.,"A",.,"A",7400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169261",20,0,"1","02","D","300","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",800,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03169281",16,0,"1","01","D","100","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169301",6,0,"1","01","D","100","D",.,"A","3","D",,"B","1945","D",.,"A",.,"A",.,"A",80,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03169341",16,0,"1","01","D","100","D",.,"A","3","D",,"B","1993","D",.,"A",.,"A",.,"A",670,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
