"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_","GOVTCOST","GOVT_OST","INCLBDS","INCLBDS_","INCLDRYR","INCL_RYR","INCLFRIG","INCL_RIG","INCLPDS","INCLPDS_","INCLSTOV","INCL_TOV","INCLWSHR","INCL_SHR","PUBLHOUS","PUBL_OUS","OWNED","OWNED_","RTPARK","RTPARK_"
"20151","02798785",14,0,"1","1","D","1","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2595,"2","D","D","1","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02798805",29,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",4125,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799005",10,0,"1","1","D",,"B",,"B",,"B",,"B",,"B","2","D",.,"A",.,"A",.,"A",2775,,"F","B",,"B",,"B",,"B","2","D","2","D","2","D","1","D","1","D","1","D","2","D","2","D",,"A",,"A"
"20151","02799265",13,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D"
"20151","02799365",15,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2400,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02799385",10,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D"
"20151","02799445",11,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1650,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799765",11,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2400,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20151","02799775",18,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2424,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02799815",27,0,"1","1","D","1","D","1","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",900,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799865",28,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3600,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799885",6,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1875,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799905",17,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3300,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D","2","D"
"20151","02799935",26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2250,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02799975",14,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2100,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20151","02800125",32,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",4275,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","2","D"
"20151","02800185",17,0,"1","1","D","1","D","1","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",6000,"2","D","D","2","D","2","D","2","D",,"A","1","D","1","D","1","D","2","D","1","D","1","D","1","D","2","D","1","D"
"20151","02800305",5,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D",,"A"
"20151","02800545",26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2700,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02800595",26,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",6060,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02800605",14,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",975,"2","D","D","2","D","2","D","2","D","2","D","2","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02800805",19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4176,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02800845",18,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3300,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20151","02800965",16,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2476,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20151","02800985",11,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2775,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02801065",30,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3192,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02801145",19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1875,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02801275",33,0,"1","1","D","2","D","1","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2796,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20151","02801305",17,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2150,"2","D","D","2","D","2","D","2","D","2","D","2","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02801505",24,0,"1","1","D",,"B",,"B",,"B",,"B",,"B","2","D",.,"A",.,"A",.,"A",3048,,"F","B",,"B",,"B",,"B","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D",,"A",,"A"
"20151","02801705",16,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",975,"2","D","D","2","D","2","D","2","D","2","D","2","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02801805",7,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1650,"2","D","D","2","D","2","D","2","D","2","D","1","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20151","02801985",9,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D",,"A"
"20151","02802075",17,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3600,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
