"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20151","02802915",9,0,"1","100","D","01","D",1380,"D"
"20151","02802915",10,0,"1","170","D","12","D",10,"D"
"20151","02802915",11,0,"1","170","D","13","D",100,"D"
"20151","02802915",12,0,"1","160","D","13","D",60,"D"
"20151","02802915",13,0,"1","160","D","11","D",40,"D"
"20151","02802915",14,0,"1","160","D","12","D",40,"D"
"20151","02802915",15,0,"2","160","D","11","D",40,"D"
"20151","02802995",1,0,"1","150","D","01","D",20,"D"
"20151","02802995",2,0,"1","150","D","12","D",20,"D"
"20151","02802995",3,0,"1","150","D","12","D",20,"D"
"20151","02802995",4,0,"1","150","D","01","D",20,"D"
"20151","02802995",5,0,"1","150","D","12","D",20,"D"
"20151","02802995",6,0,"1","150","D","01","D",20,"D"
"20151","02803115",11,0,"1","100","D","13","D",500,"D"
"20151","02803115",12,0,"1","160","D","12","D",3000,"D"
"20151","02803415",12,0,"1","150","D","13","D",10,"D"
"20151","02803565",2,0,"1","170","D","12","D",350,"D"
"20151","02803565",3,0,"1","150","D","13","D",35,"D"
"20151","02803645",3,0,"1","100","D","13","D",800,"D"
"20151","02803645",4,0,"1","160","D","13","D",50,"D"
"20151","02803665",4,0,"1","150","D","13","D",150,"D"
"20151","02803745",6,0,"1","160","D","12","D",700,"D"
"20151","02803835",3,0,"1","150","D","13","D",200,"D"
"20151","02803855",1,0,"1","170","D","12","D",152,"D"
"20151","02803855",2,0,"1","150","D","13","D",33,"D"
"20151","02804085",23,0,"1","160","D","01","D",20,"D"
"20151","02804085",24,0,"1","160","D","13","D",20,"D"
"20151","02804185",3,0,"1","150","D","13","D",20,"D"
"20151","02804225",10,0,"1","170","D","02","D",200,"D"
"20151","02804225",11,0,"2","170","D","12","D",300,"D"
"20151","02804255",2,0,"1","100","D","01","D",400,"D"
"20151","02804255",3,0,"1","100","D","02","D",400,"D"
"20151","02804255",4,0,"1","170","D","01","D",106,"D"
"20151","02804255",5,0,"1","160","D","01","D",250,"D"
"20151","02804345",8,0,"1","150","D","01","D",300,"D"
"20151","02804345",9,0,"1","150","D","02","D",400,"D"
"20151","02804435",6,0,"1","170","D","02","D",100,"D"
"20151","02804435",7,0,"1","150","D","13","D",50,"D"
"20151","02804455",9,0,"1","100","D","13","D",600,"D"
"20151","02804455",10,0,"1","170","D","12","D",50,"D"
"20151","02804455",11,0,"1","150","D","12","D",3100,"D"
"20151","02804455",12,0,"1","150","D","01","D",750,"D"
"20151","02804455",13,0,"1","150","D","02","D",750,"D"
"20151","02804455",14,0,"1","160","D","13","D",40,"D"
"20151","02804505",7,0,"1","150","D","13","D",400,"D"
"20151","02804505",8,0,"1","150","D","12","D",3100,"D"
"20151","02804505",9,0,"2","170","D","12","D",100,"D"
"20151","02804575",4,0,"1","150","D","13","D",175,"D"
"20151","02804585",1,0,"1","170","D","13","D",5,"D"
"20151","02804685",1,0,"1","150","D","13","D",227,"F"
"20151","02804705",6,0,"1","150","D","13","D",150,"D"
"20151","02804775",4,0,"1","100","D","01","D",200,"D"
"20151","02804775",5,0,"1","150","D","13","D",5630,"D"
"20151","02804775",6,0,"2","100","D","12","D",700,"D"
"20151","02804775",7,0,"2","170","D","12","D",30,"D"
"20151","02804865",7,0,"1","160","D","13","D",150,"D"
"20151","02804955",6,0,"1","170","D","12","D",400,"D"
"20151","02804955",7,0,"1","160","D","12","D",20,"D"
"20151","02805045",3,0,"1","170","D","12","D",300,"D"
"20151","02805045",4,0,"1","170","D","12","D",800,"D"
"20151","02805075",3,0,"1","170","D","13","D",1500,"D"
"20151","02805075",4,0,"1","160","D","13","D",150,"D"
"20151","02805075",5,0,"1","140","D","13","D",150,"D"
"20151","02805075",6,0,"2","100","D","12","D",200,"D"
"20151","02805185",4,0,"1","170","D","12","D",200,"D"
"20151","02805185",5,0,"1","110","D","13","D",700,"D"
"20151","02805185",6,0,"1","160","D","13","D",28,"D"
"20151","02805185",7,0,"1","150","D","13","D",150,"D"
"20151","02805185",8,0,"1","150","D","12","D",250,"D"
"20151","02805195",1,0,"1","160","D","12","D",75,"D"
"20151","02805215",4,0,"1","170","D","01","D",300,"D"
"20151","02805215",5,0,"1","170","D","02","D",100,"D"
"20151","02805215",6,0,"1","160","D","02","D",50,"D"
"20151","02805305",14,0,"1","170","D","13","D",5,"D"
"20151","02805305",15,0,"1","170","D","12","D",100,"D"
"20151","02805305",16,0,"1","110","D","13","D",3500,"D"
"20151","02805305",17,0,"1","120","D","13","D",3000,"D"
"20151","02805305",18,0,"1","160","D","13","D",75,"D"
"20151","02805315",1,0,"1","170","D","12","D",150,"D"
"20151","02805345",14,0,"1","170","D","02","D",100,"D"
"20151","02805345",15,0,"1","170","D","12","D",800,"D"
"20151","02805345",16,0,"1","170","D","01","D",200,"D"
"20151","02805345",17,0,"1","150","D","13","D",150,"D"
"20151","02805345",18,0,"1","160","D","01","D",50,"D"
"20151","02805345",19,0,"1","160","D","02","D",113,"D"
"20151","02805345",20,0,"1","160","D","12","D",50,"D"
"20151","02805345",21,0,"2","170","D","12","D",30,"D"
"20151","02805345",22,0,"2","170","D","12","D",50,"D"
"20151","02805495",23,0,"1","170","D","02","D",1,"D"
"20151","02805495",24,0,"2","160","D","12","D",18,"D"
