"QYEAR","NEWID","SEQNO","ALCNO","INTSERV","INTSERV_","INTMO","INTMO_","INTCHGX","INTCHGX_","INTSRV1","INTSRV1_","INTSRV2","INTSRV2_","INTSRV3","INTSRV3_","INTSRV4","INTSRV4_","INTSRV5","INTSRV5_","INTSRV6","INTSRV6_","INTSRV7","INTSRV7_","INTSRV8","INTSRV8_","INTSRV9","INTSRV9_"
"20161","03258492",53,0,"200","D","13","D",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258502",51,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258502",51,1,"200","D","13","D",69,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258502",51,2,"100","D","13","D",131,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258552",23,0,"200","D","13","D",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258562",11,0,"100","D","13","D",50,"D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258562",12,0,"600","D","13","D",30,"D","600","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258572",43,0,"200","D","13","D",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258602",47,0,"100","D","13","D",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258602",48,0,"200","D","13","D",81,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258612",21,0,"100","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258632",12,0,"100","D","13","D",92,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258652",40,0,"100","D","13","D",198,"D","600","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258692",45,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258692",45,1,"200","D","13","D",31,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258692",45,2,"100","D","13","D",58,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258712",72,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258712",72,1,"200","D","13","D",24,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258712",72,2,"100","D","13","D",46,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258722",8,0,"100","D","13","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258752",34,0,"100","D","13","D",86,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258782",34,0,"100","D","13","D",72,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258782",35,0,"200","D","13","D",73,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258792",22,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258862",10,0,"100","D","13","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258882",22,0,"100","D","13","D",86,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258882",23,0,"200","D","13","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258892",10,0,"100","D","13","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258902",17,0,"100","D","13","D",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258912",9,0,"100","D","13","D",99,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258922",31,0,"100","D","13","D",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258922",32,0,"700","D","13","D",18,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258942",63,0,"200","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258952",27,0,"100","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258952",28,0,"200","D","13","D",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258982",40,0,"700","D","13","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03258982",41,0,"200","D","13","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259032",22,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259032",22,1,"200","D","13","D",36,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259032",22,2,"100","D","13","D",68,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259062",34,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259062",34,1,"200","D","13","D",82,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259062",34,2,"100","D","13","D",154,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259072",20,0,"200","D","10","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03259082",30,0,"100","D","13","D",89,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
