"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","03062873",27,0,"1","400","D","02","D",800,"D",,"A",,"A",,"A",,"A"
"20152","03062873",28,0,"1","400","D","03","D",145,"D",,"A",,"A",,"A",,"A"
"20152","03062873",29,0,"1","400","D","04","D",145,"D",,"A",,"A",,"A",,"A"
"20152","03062873",30,0,"1","410","D","03","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03062873",31,0,"1","420","D","03","D",56,"D",,"A",,"A",,"A",,"A"
"20152","03062962",57,0,"1","430","D","03","D",.,"H","415","D","425","D","400","D",,"A"
"20152","03062962",57,1,"1","420","D","03","D",16,"E",,"A",,"A",,"A",,"A"
"20152","03062962",57,2,"1","420","D","03","D",138,"E",,"A",,"A",,"A",,"A"
"20152","03062962",57,3,"1","400","D","03","D",6,"E",,"A",,"A",,"A",,"A"
"20152","03063054",29,0,"1","420","D","02","D",35,"D",,"A",,"A",,"A",,"A"
"20152","03063054",30,0,"1","405","D","02","D",44,"D",,"A",,"A",,"A",,"A"
"20152","03063054",31,0,"2","400","D","02","D",10,"D",,"A",,"A",,"A",,"A"
"20152","03063054",32,0,"2","405","D","02","D",80,"D",,"A",,"A",,"A",,"A"
"20152","03063094",44,0,"1","420","D","03","D",140,"D",,"A",,"A",,"A",,"A"
"20152","03063094",45,0,"1","400","D","02","D",120,"D",,"A",,"A",,"A",,"A"
"20152","03063163",49,0,"1","410","D","03","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03063272",30,0,"1","405","D","03","D",550,"D",,"A",,"A",,"A",,"A"
"20152","03063303",35,0,"1","405","D","03","D",299,"D",,"A",,"A",,"A",,"A"
"20152","03063424",26,0,"1","420","D","04","D",110,"D",,"A",,"A",,"A",,"A"
"20152","03063592",54,0,"1","420","D","03","D",70,"D",,"A",,"A",,"A",,"A"
"20152","03063654",19,0,"1","420","D","03","D",600,"D",,"A",,"A",,"A",,"A"
"20152","03063694",23,0,"1","420","D","04","D",26,"D",,"A",,"A",,"A",,"A"
"20152","03063702",42,0,"1","400","D","04","D",8,"F",,"A",,"A",,"A",,"A"
"20152","03063702",43,0,"1","420","D","04","D",75,"D",,"A",,"A",,"A",,"A"
"20152","03063933",18,0,"1","420","D","03","D",84,"D",,"A",,"A",,"A",,"A"
"20152","03064064",24,0,"1","405","D","04","D",72,"D",,"A",,"A",,"A",,"A"
"20152","03064212",33,0,"1","420","D","04","D",28,"D",,"A",,"A",,"A",,"A"
"20152","03064264",29,0,"2","420","D","02","D",35,"D",,"A",,"A",,"A",,"A"
"20152","03064272",16,0,"1","400","D","03","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03064403",49,0,"1","420","D","02","D",59,"D",,"A",,"A",,"A",,"A"
"20152","03064444",31,0,"1","420","D","04","D",5,"D",,"A",,"A",,"A",,"A"
"20152","03064612",48,0,"1","400","D","04","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03064723",27,0,"1","420","D","04","D",400,"D",,"A",,"A",,"A",,"A"
"20152","03064904",28,0,"1","405","D","04","D",164,"D",,"A",,"A",,"A",,"A"
"20152","03065174",22,0,"1","400","D","02","D",200,"D",,"A",,"A",,"A",,"A"
"20152","03065223",25,0,"2","400","D","02","D",48,"D",,"A",,"A",,"A",,"A"
"20152","03065464",24,0,"1","420","D","03","D",155,"D",,"A",,"A",,"A",,"A"
"20152","03065782",27,0,"1","400","D","04","D",36,"D",,"A",,"A",,"A",,"A"
"20152","03066154",49,0,"1","400","D","03","D",64,"D",,"A",,"A",,"A",,"A"
"20152","03066154",50,0,"1","420","D","03","D",90,"D",,"A",,"A",,"A",,"A"
"20152","03066154",51,0,"1","410","D","02","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03066164",20,0,"1","420","D","04","D",18,"D",,"A",,"A",,"A",,"A"
"20152","03066354",71,0,"1","420","D","03","D",104,"D",,"A",,"A",,"A",,"A"
"20152","03066354",72,0,"1","420","D","04","D",129,"D",,"A",,"A",,"A",,"A"
"20152","03066354",73,0,"2","410","D","02","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03066604",45,0,"1","400","D","04","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03066792",38,0,"1","420","D","04","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03067193",28,0,"1","420","D","04","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03067193",29,0,"1","410","D","04","D",5,"D",,"A",,"A",,"A",,"A"
"20152","03067334",62,0,"1","400","D","03","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03067643",29,0,"1","420","D","04","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03067643",30,0,"1","410","D","04","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03067643",31,0,"2","400","D","03","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03067663",24,0,"1","420","D","05","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03067782",41,0,"1","410","D","04","D",42,"D",,"A",,"A",,"A",,"A"
"20152","03067934",34,0,"2","400","D","03","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03068033",27,0,"1","420","D","04","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03068242",33,0,"2","420","D","03","D",75,"D",,"A",,"A",,"A",,"A"
"20152","03068303",50,0,"2","420","D","03","D",456,"D",,"A",,"A",,"A",,"A"
"20152","03068463",42,0,"1","400","D","05","D",8,"D",,"A",,"A",,"A",,"A"
"20152","03068463",43,0,"1","420","D","05","D",60,"F",,"A",,"A",,"A",,"A"
"20152","03068514",57,0,"2","410","D","03","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03068754",56,0,"1","410","D","04","D",7,"D",,"A",,"A",,"A",,"A"
"20152","03068833",42,0,"2","420","D","03","D",104,"D",,"A",,"A",,"A",,"A"
"20152","03069302",69,0,"1","400","D","03","D",30,"D",,"A",,"A",,"A",,"A"
