"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20151","02799455",71,0,"1","610","D","1","D",55,"D","12","D"
"20151","02799455",72,0,"1","840","D","1","D",110,"D","12","D"
"20151","02799455",73,0,"1","840","D","1","D",99,"D","12","D"
"20151","02799455",74,0,"1","200","D","1","D",10,"D","13","D"
"20151","02799455",75,0,"1","510","D","1","D",16,"D","11","D"
"20151","02799455",76,0,"1","400","D","1","D",50,"D","12","D"
"20151","02799455",77,0,"2","510","D","1","D",33,"D","11","D"
"20151","02799455",78,0,"2","210","D","1","D",8,"D","11","D"
"20151","02799455",79,0,"2","370","D","1","D",35,"D","11","D"
"20151","02799475",39,0,"1","830","D","1","D",650,"D","13","D"
"20151","02799475",40,0,"1","210","D","1","D",50,"D","12","D"
"20151","02799475",41,0,"1","210","D","1","D",50,"D","01","D"
"20151","02799475",42,0,"2","210","D","1","D",50,"D","11","D"
"20151","02799495",41,0,"1","300","D","1","D",32,"D","12","D"
"20151","02799495",42,0,"2","210","D","1","D",20,"D","11","D"
"20151","02799525",26,0,"1","160","D","1","D",15,"D","01","D"
"20151","02799525",27,0,"1","160","D","1","D",15,"D","11","D"
"20151","02799525",28,0,"1","160","D","1","D",15,"D","12","D"
"20151","02799785",24,0,"1","930","D","1","D",35,"D","01","D"
"20151","02799785",25,0,"1","510","D","1","D",22,"D","01","D"
"20151","02799835",41,0,"1","350","D","1","D",4,"D","12","D"
"20151","02799835",42,0,"1","370","D","1","D",20,"D","12","D"
"20151","02799835",43,0,"1","370","D","2","D",20,"D","12","D"
"20151","02799865",29,0,"1","840","D","1","D",100,"D","12","D"
"20151","02799865",30,0,"1","210","D","1","D",16,"D","11","D"
"20151","02799895",23,0,"1","150","D","1","D",99,"D","01","D"
"20151","02799975",15,0,"1","830","D","1","D",20,"D","13","D"
"20151","02799985",28,0,"1","840","D","1","D",43,"D","11","D"
"20151","02799985",29,0,"2","160","D","1","D",7,"F","11","D"
"20151","02800065",41,0,"1","510","D","1","D",10,"D","11","D"
