"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20152","02976053",49,0,"1","105","D",.,"A",340,"D","1","D"
"20152","02976053",50,0,"1","105","D",.,"A",263,"D","1","D"
"20152","02977033",21,0,"1","105","D",.,"A",120,"D","1","D"
"20152","02977893",14,0,"1","105","D",.,"A",145,"D","1","D"
"20152","02989123",38,0,"1","105","D",.,"A",80,"D","2","D"
"20152","02989963",40,0,"1","105","D",.,"A",738,"D","1","D"
"20152","02991073",34,0,"1","120","D",.,"A",577,"D","1","D"
"20152","02992033",15,0,"1","105","D",.,"A",200,"D","2","D"
"20152","02993473",30,0,"1","105","D",.,"A",350,"D","1","D"
"20152","02994553",19,0,"1","105","D",.,"A",1,"D","1","D"
"20152","02996263",50,0,"1","105","D",.,"A",228,"F","1","D"
"20152","02996393",16,0,"1","105","D",.,"A",120,"D","1","D"
"20152","02997623",17,0,"1","105","D",.,"A",260,"D","2","D"
"20152","02999203",30,0,"1","105","D",.,"A",120,"D","1","D"
"20152","02999203",31,0,"1","105","D",.,"A",40,"D","2","D"
"20152","03000143",60,0,"1","105","D",.,"A",610,"D","2","D"
"20152","03002103",82,0,"1","105","D",.,"A",600,"D","1","D"
"20152","03002643",23,0,"1","105","D",.,"A",1180,"D","2","D"
"20152","03002983",33,0,"1","105","D",.,"A",200,"D","2","D"
"20152","03003103",44,0,"1","105","D",.,"A",100,"D","2","D"
"20152","03004063",30,0,"1","105","D",.,"A",72,"D","1","D"
"20152","03004913",56,0,"1","105","D",.,"A",128,"D","1","D"
"20152","03007843",27,0,"1","105","D",0.8,"D",57,"D","1","D"
"20152","03008103",20,0,"1","105","D",.,"A",60,"D","1","D"
"20152","03008373",52,0,"1","105","D",.,"A",25,"D","2","D"
"20152","03010923",39,0,"1","160","D",.,"A",16,"D","1","D"
"20152","03033944",23,0,"1","105","D",.,"A",150,"D","2","D"
"20152","03045764",19,0,"1","105","D",.,"A",300,"D","1","D"
"20152","03048283",19,0,"1","105","D",.,"A",400,"D","1","D"
"20152","03048432",12,0,"1","105","D",.,"A",2500,"D","1","D"
"20152","03048864",20,0,"1","105","D",.,"A",650,"D","1","D"
"20152","03050494",34,0,"1","105","D",.,"A",538,"D","1","D"
"20152","03050732",11,0,"1","180","D",.,"A",90,"D","2","D"
"20152","03051184",30,0,"1","105","D",.,"A",1200,"D","1","D"
"20152","03052163",7,0,"1","105","D",.,"A",110,"D","1","D"
"20152","03057303",23,0,"1","105","D",.,"A",175,"D","1","D"
"20152","03058663",25,0,"1","105","D",.,"A",450,"D","2","D"
"20152","03063054",17,0,"1","105","D",.,"A",65,"D","1","D"
"20152","03063654",13,0,"1","105","D",.,"A",117,"D","2","D"
"20152","03066604",33,0,"1","105","D",.,"A",270,"D","1","D"
"20152","03067934",21,0,"1","105","D",.,"A",250,"D","2","D"
"20152","03069834",28,0,"1","105","D",.,"A",300,"D","2","D"
"20152","03070332",42,0,"1","105","D",.,"A",426,"D","1","D"
"20152","03071524",28,0,"1","105","D",.,"A",128,"D","1","D"
"20152","03072213",21,0,"1","105","D",.,"A",350,"D","1","D"
"20152","03073252",50,0,"1","105","D",.,"A",400,"D","1","D"
"20152","03073663",50,0,"1","105","D",.,"A",130,"D","1","D"
"20152","03074302",17,0,"1","105","D",1,"D",0,"D","2","D"
"20152","03075882",51,0,"1","105","D",.,"A",1,"D","1","D"
"20152","03076163",36,0,"1","105","D",.,"A",300,"D","2","D"
"20152","03077043",32,0,"1","105","D",.,"A",578,"D","1","D"
"20152","03077632",32,0,"1","105","D",.,"A",120,"D","2","D"
"20152","03078293",69,0,"1","105","D",.,"A",940,"D","1","D"
"20152","03078633",14,0,"1","105","D",.,"A",110,"D","1","D"
"20152","03079572",72,0,"1","105","D",.,"A",15,"D","1","D"
"20152","03080012",28,0,"1","105","D",1,"D",0,"D","1","D"
"20152","03080012",29,0,"1","105","D",1,"D",0,"D","1","D"
"20152","03080314",13,0,"1","105","D",.,"A",175,"D","1","D"
"20152","03083502",10,0,"1","105","D",.,"A",300,"D","1","D"
"20152","03085423",38,0,"1","105","D",.,"A",30,"D","2","D"
"20152","03086283",28,0,"1","105","D",.,"A",450,"D","1","D"
"20152","03090203",22,0,"1","105","D",.,"A",55,"D","1","D"
"20152","03090311",18,0,"1","120","D",.,"A",400,"D","1","D"
"20152","03090671",12,0,"1","105","D",.,"A",1000,"D","1","D"
"20152","03090721",31,0,"1","105","D",.,"A",200,"D","1","D"
"20152","03091742",13,0,"1","105","D",.,"A",650,"D","1","D"
"20152","03092893",23,0,"1","105","D",.,"A",631,"D","1","D"
"20152","03093182",26,0,"1","105","D",.,"A",330,"D","1","D"
"20152","03093322",53,0,"1","105","D",.,"A",265,"D","1","D"
"20152","03093322",54,0,"1","105","D",.,"A",165,"D","1","D"
"20152","03093681",21,0,"1","105","D",.,"A",110,"D","1","D"
"20152","03095184",13,0,"1","105","D",1,"D",0,"D","2","D"
"20152","03095481",20,0,"1","105","D",.,"A",80,"D","1","D"
"20152","03095801",12,0,"1","105","D",.,"A",50,"D","2","D"
"20152","03095994",12,0,"1","105","D",.,"A",25,"D","2","D"
"20152","03096933",27,0,"1","105","D",.,"A",125,"D","1","D"
"20152","03096933",28,0,"1","180","D",1,"D",0,"D","1","D"
"20152","03097542",15,0,"1","105","D",.,"A",161,"D","1","D"
"20152","03097793",21,0,"1","105","D",.,"A",21,"D","2","D"
"20152","03097831",16,0,"1","105","D",.,"A",400,"D","1","D"
"20152","03099161",43,0,"1","105","D",.,"A",40,"D","1","D"
"20152","03099934",18,0,"1","105","D",.,"A",250,"D","2","D"
"20152","03100343",13,0,"1","105","D",.,"A",367,"D","1","D"
"20152","03100362",23,0,"1","105","D",.,"A",100,"D","2","D"
"20152","03100443",18,0,"1","200","D",.,"A",30,"D","1","D"
"20152","03101231",22,0,"1","105","D",.,"A",1,"D","1","D"
"20152","03101491",23,0,"1","105","D",.,"A",150,"D","1","D"
"20152","03101651",34,0,"1","105","D",.,"A",100,"D","1","D"
"20152","03101981",18,0,"1","105","D",.,"A",450,"D","2","D"
"20152","03102491",17,0,"1","105","D",.,"A",273,"D","2","D"
"20152","03103121",31,0,"1","105","D",.,"A",60,"D","2","D"
"20152","03103323",15,0,"1","105","D",.,"A",70,"D","2","D"
"20152","03103621",19,0,"1","105","D",.,"A",145,"D","2","D"
"20152","03103731",37,0,"1","105","D",.,"A",150,"D","1","D"
"20152","03104311",27,0,"1","105","D",.,"A",220,"D","1","D"
