"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20153","03068813",6,0,2,"D","09","D","2010","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03068984",7,0,1,"D","04","D","2015","D","2","D","1","D",24,"F",24,"F",24,"F",24,"F","2","D",.,"A"
"20153","03069323",6,0,2,"D",,"A","2013","D","1","D",,"A",0,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03069604",11,0,1,"D","01","D","2013","D","2","D","1","D",16,"D",16,"D",16,"D",16,"D","1","D",.,"A"
"20153","03070343",14,0,1,"D","05","D","2015","D","2","D","1","D",15,"D",15,"D",15,"D",15,"D","1","D",.,"A"
"20153","03070343",15,0,2,"D","04","D","2015","D","2","D","1","D",35,"D",35,"D",35,"D",35,"D","1","D",.,"A"
"20153","03070464",10,0,1,"D","01","D","2015","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03070493",11,0,1,"D","12","D","2005","D","2","D","1","D",30,"F",30,"F",30,"F",30,"F","1","D",.,"A"
"20153","03071184",47,0,1,"D","11","D","2014","D","1","D","1","D",14,"D",14,"D",14,"D",14,"D","1","D",.,"A"
"20153","03071253",10,0,3,"D","01","D","2007","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03072024",5,0,1,"D","12","D","2014","D","2","D","1","D",27,"F",27,"F",27,"F",27,"F","1","D",.,"A"
"20153","03072063",13,0,1,"D","12","D","2005","D","1","D","1","D",400,"D",400,"D",400,"D",400,"D","1","D",.,"A"
"20153","03072063",14,0,2,"D","12","D","2005","D","1","D","1","D",400,"D",400,"D",400,"D",400,"D","1","D",.,"A"
"20153","03072444",4,0,1,"D","12","D","2005","D","1","D","1","D",200,"D",200,"D",200,"D",200,"D","1","D",.,"A"
"20153","03072484",11,0,1,"D","12","D","2014","D","1","D","1","D",54,"F",54,"F",54,"F",54,"F","1","D",.,"A"
"20153","03073383",3,0,3,"D","12","D","2005","D","1","D","1","D",55,"D",55,"D",55,"D",55,"D","1","D",.,"A"
"20153","03073574",10,0,2,"D","05","D","2015","D","1","D","1","D",52,"D",52,"D",52,"D",52,"D","1","D",.,"A"
"20153","03073594",9,0,2,"D","11","D","2013","D","1","D","1","D",25,"D",25,"D",25,"D",25,"D","1","D",.,"A"
"20153","03073664",15,0,2,"D","01","D","2014","D","2","D","1","D",97,"D",97,"D",97,"D",97,"D","1","D",.,"A"
"20153","03073963",7,0,1,"D","02","D","2014","D","1","D",,"A",105,"F",105,"F",105,"F",105,"F",,"A",.,"A"
"20153","03074014",18,0,1,"D","08","D","2015","D","2","D",,"A",57,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03074473",4,0,1,"D","12","D","2014","D","1","D","1","D",20,"F",20,"F",20,"F",20,"F","1","D",.,"A"
"20153","03074473",5,0,2,"D","01","D","2015","D","1","D","1","D",50,"F",50,"F",50,"F",50,"F","1","D",.,"A"
"20153","03074614",5,0,1,"D","01","D","2006","D","1","D","1","D",38,"D",38,"D",38,"D",38,"D","1","D",.,"A"
"20153","03074614",6,0,2,"D","12","D","2005","D","1","D","1","D",46,"D",46,"D",46,"D",46,"D","1","D",.,"A"
"20153","03075033",13,0,1,"D","01","D","2010","D","1","D",,"A",86,"F",86,"F",86,"F",86,"F",,"A",.,"A"
"20153","03075223",8,0,1,"D","12","D","2005","D","1","D","1","D",33,"D",34,"D",34,"D",34,"D","2","D",34,"D"
"20153","03075453",8,0,1,"D","02","D","2015","D","1","D","1","D",28,"D",28,"D",28,"D",28,"D","1","D",.,"A"
"20153","03076153",11,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03076164",33,0,3,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03076254",13,0,1,"D","12","D","2014","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03076674",6,0,1,"D","04","D","2014","D","2","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20153","03076674",7,0,2,"D","04","D","2014","D","2","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20153","03076703",29,0,1,"D","09","D","2011","D","1","D","1","D",128,"D",128,"D",128,"D",128,"D","1","D",.,"A"
"20153","03076703",30,0,2,"D","08","D","2012","D","1","D","1","D",128,"D",128,"D",128,"D",128,"D","1","D",.,"A"
"20153","03076744",7,0,1,"D","10","D","2009","D","1","D","1","D",69,"D",69,"D",69,"D",69,"D","1","D",.,"A"
"20153","03076814",15,0,2,"D","08","D","2014","D","2","D","1","D",35,"D",35,"D",35,"D",35,"D","1","D",.,"A"
"20153","03077093",5,0,2,"D","02","D","2015","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03077113",23,0,1,"D",,"A","2005","D","2","D","1","D",50,"D",.,"A",.,"A",.,"A","1","D",.,"A"
"20153","03077113",24,0,2,"D",,"A","2007","D","2","D","1","D",50,"D",.,"A",.,"A",.,"A","1","D",.,"A"
"20153","03077334",8,0,1,"D","05","D","2008","D","1","D","1","D",25,"F",25,"F",25,"F",25,"F","1","D",.,"A"
"20153","03077334",9,0,2,"D","03","D","2008","D","1","D","1","D",20,"F",20,"F",20,"F",20,"F","1","D",.,"A"
"20153","03077553",8,0,1,"D","06","D","2006","D","2","D","1","D",49,"D",49,"D",49,"D",49,"D","1","D",.,"A"
"20153","03077783",8,0,1,"D","12","D","2008","D","2","D","1","D",69,"D",69,"D",69,"D",69,"D","1","D",.,"A"
"20153","03078014",10,0,1,"D","12","D","2005","D","1","D","1","D",52,"F",52,"F",52,"F",52,"F","1","D",.,"A"
"20153","03078294",21,0,1,"D","10","D","2010","D","2","D","1","D",90,"D",90,"D",90,"D",90,"D","1","D",.,"A"
"20153","03078294",22,0,2,"D","02","D","2011","D","2","D","1","D",100,"D",100,"D",100,"D",100,"D","1","D",.,"A"
"20153","03078514",4,0,1,"D","12","D","2014","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03078784",15,0,1,"D","12","D","2005","D","1","D","1","D",147,"D",147,"D",147,"D",147,"D","1","D",.,"A"
"20153","03079144",6,0,1,"D","04","D","2015","D","1","D","1","D",104,"D",104,"D",104,"D",104,"D","1","D",.,"A"
"20153","03079153",11,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03079364",4,0,1,"D","09","D","2007","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03079364",5,0,2,"D","01","D","2007","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03079474",13,0,1,"D",,"A","2009","D","2","D","1","D",.,"C",.,"A",.,"A",.,"A","1","D",.,"A"
"20153","03080013",6,0,1,"D","05","D","2014","D","1","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20153","03080154",7,0,1,"D","12","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03080193",8,0,1,"D","04","D","2006","D","1","D","1","D",51,"D",51,"D",51,"D",51,"D","1","D",.,"A"
"20153","03080193",9,0,2,"D","06","D","2006","D","2","D","1","D",51,"D",51,"D",51,"D",51,"D","1","D",.,"A"
"20153","03080363",5,0,1,"D","04","D","2015","D","1","F","1","D",180,"F",180,"F",180,"F",180,"F",,"C",.,"A"
"20153","03080743",5,0,1,"D","11","D","2014","D","1","D","1","D",104,"F",104,"F",104,"F",104,"F","1","D",.,"A"
"20153","03081193",10,0,4,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03081494",16,0,1,"D","04","D","2009","D","2","D","1","D",65,"D",65,"D",65,"D",65,"D","1","D",.,"A"
"20153","03082093",10,0,1,"D","08","D","2015","D","1","D",,"A",0,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03082213",6,0,1,"D","12","D","2014","D","1","F","1","D",55,"F",55,"F",55,"F",55,"F","1","D",.,"A"
"20153","03082294",16,0,1,"D","02","D","2015","D","1","D","1","D",50,"F",50,"F",50,"F",50,"F","1","D",.,"A"
"20153","03082334",8,0,1,"D","09","D","2013","D","1","D","1","D",92,"D",92,"D",92,"D",92,"D","1","D",.,"A"
"20153","03082363",6,0,2,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03082764",3,0,1,"D","01","D","2013","D","2","D","1","D",39,"D",39,"D",39,"D",39,"D","1","D",.,"A"
"20153","03083243",5,0,1,"D","05","D","2015","D","2","D","1","D",130,"F",130,"F",130,"F",130,"F","1","D",.,"A"
"20153","03083614",9,0,1,"D","03","D","2014","D","2","D","1","D",58,"D",58,"D",58,"D",58,"D","1","D",.,"A"
"20153","03083734",10,0,2,"D","07","D","2015","D","2","D",,"A",22,"D",22,"D",.,"A",.,"A",,"A",.,"A"
"20153","03083893",9,0,1,"D","12","D","2005","D","1","D","1","D",62,"F",62,"F",62,"F",62,"F","1","D",.,"A"
"20153","03083904",8,0,1,"D","12","D","2005","D","2","D","1","D",50,"D",50,"D",50,"D",50,"D","1","D",.,"A"
"20153","03083904",9,0,2,"D","09","D","2013","D","2","D","1","D",39,"D",39,"D",39,"D",39,"D","1","D",.,"A"
"20153","03084094",12,0,1,"D","12","D","2005","D","1","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20153","03084164",11,0,1,"D","12","D","2005","D","1","D","1","D",22,"F",22,"F",22,"F",22,"F","1","D",.,"A"
"20153","03084164",12,0,2,"D","12","D","2005","D","1","D","1","D",50,"F",50,"F",50,"F",50,"F","1","D",.,"A"
"20153","03084354",10,0,1,"D",,"A","2011","D","2","D","1","D",.,"C",.,"A",.,"A",.,"A","1","D",.,"A"
"20153","03084434",24,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03085553",3,0,1,"D",,"A",,"C","2","D","1","D",0,"D",.,"A",.,"A",.,"A","1","D",.,"A"
"20153","03085704",15,0,1,"D","10","D","2012","D","1","D","1","D",48,"D",48,"D",48,"D",48,"D","1","D",.,"A"
"20153","03085704",16,0,2,"D","10","D","2012","D","1","D","1","D",48,"D",48,"D",48,"D",48,"D","1","D",.,"A"
