"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20151","02801625",35,0,"5","01","D","105","D","2014","D",.,"A",39,"D","08","D",300,"D","3","D",.,"A",10000,"D",3500,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",3500,"D",.,"A","KIAAE","D",,"A","2014","D"
"20151","02801625",36,0,"5","02","D","105","D","2014","D",.,"A",39,"D","08","D",300,"D","3","D",.,"A",10000,"D",3500,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",3500,"D",.,"A","KIAAB","D",,"A","2014","D"
"20151","02802345",16,0,"1","01","D","105","D","2003","D",.,"A",19,"D","02","D",300,"D","3","D",.,"A",.,"A",1495,"D",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1495,"D",.,"A","GMCAM","D",,"A","2015","D"
"20151","02803565",16,0,"5","01","D","105","D","2014","D",.,"A",36,"D","03","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEAZ","D",,"A","2014","D"
"20151","02803855",14,0,"5","01","D","105","D","2015","D",.,"A",36,"D","05","D",230,"D","3","D",.,"A",17000,"D",.,"A",.,"A",,"A",230,"D",230,"D",230,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAE","D",,"A","2014","D"
"20151","02805495",43,0,"5","01","D","105","D","2012","D",.,"A",39,"D","08","D",219,"D","3","D",.,"A",1000,"D",1500,"D",.,"A",,"A",219,"D",219,"D",219,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","CHRAS","D",,"A","2012","D"
"20151","02806345",21,0,"5","01","D","105","D","2014","D",.,"A",36,"D","05","D",387,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",387,"D",387,"D",387,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CADAM","D",,"A","2014","D"
"20151","02806925",18,0,"5","01","D","105","D","2013","D",.,"A",36,"D","09","D",223,"D","3","D",.,"A",.,"A",4685,"D",.,"A",,"A",223,"D",223,"D",223,"D",.,"A",.,"A",.,"A",4685,"D",.,"A","ACUAK","D",,"A","2013","D"
"20151","02807025",22,0,"1","01","D","105","D","2003","D",.,"A",1,"D","12","D",8000,"D","8","D",.,"A",.,"A",8000,"D",.,"A","12","D",8000,"D",.,"A",.,"A",.,"A",.,"A",.,"A",8000,"D",.,"A","CHEBE","D","2014","D","2013","D"
"20151","02807605",25,0,"5","01","D","105","D","2012","D",.,"A",39,"D","11","D",365,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",365,"D",365,"D",365,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","GMCAO","D",,"A","2013","D"
